セクション,項目,别克至境世家 2026款 万家版,别克至境世家 2026款 尊享版,别克至境世家 2026款 奢享版,别克至境世家 2026款 纯电奢享版
发动机,最大功率(kW),132,132,132,-
发动机,最大功率转速(rpm),5500,5500,5500,-
发动机,最大扭矩(N·m),255,255,255,-
发动机,最大扭矩转速(rpm),1500-4500,1500-4500,1500-4500,-
发动机,最大净功率(kW),127,127,127,-
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,纯电动
发动机,燃油标号,92号,92号,92号,-
发动机,供油方式,直喷,直喷,直喷,-
发动机,缸盖材料,铝合金,铝合金,铝合金,-
发动机,缸体材料,铝合金,铝合金,铝合金,-
发动机,环保标准,国VI,国VI,国VI,-
电动机,前电动机品牌,-,-,-,上海汽车
电动机,后电动机品牌,-,-,-,上海汽车
电动机,前电动机型号,TZ210XYEEF,TZ210XYEEF,TZ210XYEEF,TZ210XYP5F
电动机,后电动机型号,YS210XYS6G,YS210XYS6G,YS210XYS6G,YS210XYS6H
电动机,电机类型,前永磁/同步 后感应/异步,前永磁/同步 后感应/异步,前永磁/同步 后感应/异步,前永磁/同步 后交流/异步
电动机,电动机总功率(kW),330,330,330,482
电动机,电动机总马力(Ps),449,449,449,656
电动机,电动机总扭矩(N·m),520,520,520,550
电动机,前电动机最大功率(kW),200,200,200,332
电动机,前电动机最大扭矩(N·m),340,340,340,380
电动机,后电动机最大功率(kW),130,130,130,150
电动机,后电动机最大扭矩(N·m),180,180,180,170
电动机,系统综合功率(kW),462,462,462,482
电动机,系统综合马力(Ps),628,628,628,656
电动机,系统综合扭矩(N·m),775,775,775,550
电动机,驱动电机数,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 时代上汽,● 时代上汽,● 时代上汽,● 时代上汽
电池/充电,电池特有技术,-,-,-,奥特能电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),171,171,171,-
电池/充电,CLTC纯电续航里程(km),224,224,224,601
电池/充电,CLTC综合续航(km),1320,1320,1320,-
电池/充电,电池能量(kWh),40.9,40.9,40.9,96
电池/充电,百公里耗电量(kWh/100km),22.5,22.5,22.5,17.3
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,高压快充,-,-,-,支持
电池/充电,高压平台（V）,-,-,-,900
电池/充电,电池快充时间(小时),0.33,0.33,0.33,0.18
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),固定齿比变速箱
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/55 R18,● 255/55 R18,● 255/50 R19,● 255/55 R18
车轮制动,后轮胎规格,● 255/55 R18,● 255/55 R18,● 255/50 R19,● 255/55 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排"
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,哨兵模式/千里眼,-,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●
驾驶操控,可变悬架功能,-,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,-,●,●,●
驾驶操控,空气悬挂类型,-,● 单腔,● 单腔,● 单腔
驾驶操控,魔毯智能悬架,-,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 5个,● 11个,● 11个,● 11个
驾驶硬件,车内摄像头数量,-,● 1个,● 3个,● 3个
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达数量,-,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● 逍遥智行高阶辅助驾驶,● 逍遥智行高阶辅助驾驶,● 逍遥智行高阶辅助驾驶
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●
驾驶功能,辅助泊车入位,-,●,●,●
驾驶功能,遥控泊车,-,●,●,●
驾驶功能,记忆泊车,-,●,●,●
驾驶功能,辅助变道,-,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●
驾驶功能,信号灯识别,-,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●
驾驶功能,起步提醒,-,●,●,●
驾驶功能,辅助驾驶路段,-,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,魔术感应门,-,-,●,●
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,感应后备厢,-,-,●,-
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,-
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,● 电动,-,● 电动,● 电动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 16.3英寸,● 16.3英寸,● 16.3英寸,● 16.3英寸
互联/智能化,副驾娱乐屏尺寸,● 16.3英寸,● 16.3英寸,● 16.3英寸,● 16.3英寸
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克
互联/智能化,语音免唤醒词,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●
互联/智能化,可见即可说,●,●,●,●
互联/智能化,面部识别,●,●,●,●
互联/智能化,应用商店,●,●,●,●
互联/智能化,车载智能系统,● 至境 OS,● 至境 OS,● 至境 OS,● 至境 OS
互联/智能化,车机智能芯片,● 高通骁龙8255,● 高通骁龙8775,● 高通骁龙8775,● 高通骁龙8775
互联/智能化,后排液晶屏幕,●,-,●,●
互联/智能化,后排液晶屏幕尺寸,"● 21英寸
● 双5.5英寸",● 双5.5英寸,"● 21英寸
● 双5.5英寸","● 21英寸
● 双5.5英寸"
互联/智能化,后排液晶屏幕分辨率,● 4K,-,● 4K,● 4K
互联/智能化,后排多媒体屏幕数量,● 3个,● 2个,● 3个,● 3个
互联/智能化,后排控制多媒体,●,●,●,●
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●
互联/智能化,车内生物监测系统,-,-,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,主动降噪,●,●,●,-
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,-,●,●
方向盘/内后视镜,HUD抬头尺寸,● 50英寸,-,● 50英寸,● 50英寸
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体"
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排3个/后排9个,● 前排3个/后排8个,● 前排3个/后排9个,● 前排3个/后排9个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节"
座椅配置,第二排座椅电动调节,●,●,●,●
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,后排小桌板,●,●,●,●
座椅配置,零重力座椅,● 第二排,● 第二排,● 第二排,● 第二排
座椅配置,第二排独立座椅,●,●,●,●
座椅配置,第三排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,第三排座椅电动调节,●,●,●,●
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,●,●,●,●
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,● BOSE,● BOSE,● BOSE,● BOSE
音响/车内灯光,扬声器数量,● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭
音响/车内灯光,车内环境氛围灯,● 121色,● 单色,● 121色,● 121色
音响/车内灯光,主动式环境氛围灯,●,-,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,-,-,●
空调/冰箱,后排独立空调,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●
空调/冰箱,负离子发生器,●,●,●,●
空调/冰箱,车内香氛装置,●,-,●,●
空调/冰箱,空气质量监测,●,●,●,●
空调/冰箱,车载冰箱,●,-,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
