セクション,セクション_ja,項目,項目_ja,2026年モデル 007+ 増程 308 Ultra+レーザーレーダー版,2026年モデル 007+ 純電 650 Ultra+レーザーレーダー版,2026年モデル 純電 610 フラッシュ版,2026年モデル 007+ 純電 565 Ultra+4WDレーザーレーダー版,2025年モデル 増程 230Max クルーズ版,2025年モデル 純電 550Air クルーズ版,2025年モデル 純電 550Max クルーズ版,2025年モデル 純電 550 行政版,2025年モデル 純電 650Max クルーズ版,2025年モデル 純電 650 行政版
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1916,1852,1874,1999,1847,1759,1759,1759,1852,1852
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2300,2279,2279,2442,2227,2194,2194,2194,2279,2279
车身,車体,长度(mm),全長(mm),4880,4880,4890,4880,4880,4880,4880,4880,4880,4880
车身,車体,宽度(mm),全幅(mm),1915,1915,1915,1915,1895,1895,1895,1895,1895,1895
车身,車体,高度(mm),全高(mm),1476,1476,1476,1476,1476,1470,1476,1470,1476,1470
车身,車体,轴距(mm),ホイールベース(mm),2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
车身,車体,前轮距(mm),前トレッド(mm),1625,1625,1625,1625,1625,1620,1625,1620,1625,1620
车身,車体,后轮距(mm),後トレッド(mm),1635,1635,1635,1635,1635,1630,1635,1630,1635,1630
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),15,15,14,15,15,15,15,15,15,15
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
车身,車体,车身结构,ボディ構造,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車,ハッチバック車
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）
车身,車体,座位数(个),乗車定員(名),● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）
车身,車体,油箱容积(L),燃料タンク容量(L),45,-,-,-,45,-,-,-,-,-
车身,車体,后备厢容积(L),トランク容量(L),452-1026,452-1026,452-1026,452-1026,452-1026,452-1026,452-1026,452-1026,452-1026,452-1026
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.209,0.209,-,0.209,0.209,0.209,0.209,0.209,0.209,0.209
发动机,エンジン,发动机型号,エンジン型式,DFMC15DE,-,-,-,DFMC15DE,-,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1497,-,-,-,1497,-,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,-,-,-,1.5,-,-,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,-,-,-,自然吸気,-,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置き,-,-,-,横置き,-,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,-,-,-,L,-,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,-,-,-,4,-,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,-,-,-,4,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,-,-,-,DOHC,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),105,-,-,-,105,-,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),77,-,-,-,77,-,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),137,-,-,-,137,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),74,-,-,-,74,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,純電動,純電動,純電動,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,-,-,-,レギュラーガソリン（92号）,-,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,直噴,-,-,-,直噴,-,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,-,-,-,アルミ合金,-,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,-,-,-,アルミ合金,-,-,-,-,-
发动机,エンジン,环保标准,環境基準,国VI（排ガス基準）,-,-,-,国VI（排ガス基準）,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,チーシンテクノロジー,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー,チーシンテクノロジー
电动机,モーター,前电动机型号,前モーター型式,-,-,-,TZ200XS3F1,-,-,-,-,-,-
电动机,モーター,后电动机型号,後モーター型式,TZ200XS3F0,TZ200XS3F1,TZ200XS3F1,TZ200XS3F1,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F1,TZ200XS3F1
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),160,200,200,400,160,160,160,160,200,200
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),218,272,272,544,218,218,218,218,272,272
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),310,310,310,620,310,310,310,310,310,310
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,200,-,-,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,310,-,-,-,-,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),160,200,200,200,160,160,160,160,200,200
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),310,310,310,310,310,310,310,310,310,310
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,後置き,後置き,後置き,前後置き,後置き,後置き,後置き,後置き,後置き,後置き
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）,● 東昱欣晟（メーカー名）
电池/充电,バッテリー／充電,电池特有技术,バッテリー独自技術,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー,マッハバッテリー
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),225,-,-,-,170,-,-,-,-,-
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),308,650,610,565,230,550,550,550,650,650
电池/充电,バッテリー／充電,CLTC综合续航(km),CLTC総合航続距離(km),1308,-,-,-,1230,-,-,-,-,-
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),35.03,73.5,73.5,73.5,28.4,58.4,58.4,58.4,73.5,73.5
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),16.7,12.6,13.6,15.2,12.8,11.9,11.9,11.9,12.6,12.6
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),144,245,245,245,116,188,188,188,245,245
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.2,0.27,0.27,0.27,0.2,0.27,0.27,0.27,0.27,0.27
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車右後側,車左後側,車左後側,車左後側,車右後側,車左後側,車左後側,車左後側,車左後側,車左後側
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車右後側,車左後側,車左後側,車左後側,車右後側,車左後側,車左後側,車左後側,車左後側,車左後側
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動,-,-,-,-,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,● 前席,● 全車両,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,-,●,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,-,●,-,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,-,●,-,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,● サスペンション硬さ調整,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前／後 ●,前席 ● / 後席 ●,前／後 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● ホライゾン・トレックJ6M,● ホライゾン・トレックJ6M,-,● ホライゾン・トレックJ6M,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 128 TOPS,● 128 TOPS,-,● 128 TOPS,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● モノカメラ,● ステレオカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● モノカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 10個,● 11個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,-,● 800万画素,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 250万画素,● 250万画素,-,● 250万画素,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 100万画素,● 300万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,● 1個,● 2個,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 6個,● 4個,● 6個,● 4個,● 6個,● 6個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 1個,● 1個,● 5個,● 1個,● 2個,-,● 2個,-,● 2個,-
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー,-,● HESAI禾赛テクノロジー,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型式,● ATX,● ATX,-,● ATX,-,-,-,-,-,-
