セクション,項目,逸动 2026款 1.5L 蓝鲸超擎 劲享型,逸动 2026款 1.5L 蓝鲸超擎 悦享型,逸动 2026款 1.5L 蓝鲸超擎 智享型,逸动 2026款 1.5T 经典版,逸动 2026款 第四代 1.5T 500Bar 劲享型,逸动 2026款 第四代 1.5T 500Bar 悦享型,逸动 2026款 第四代 1.5T 500Bar 智享型,逸动 2025款 PLUS 1.5L 手动豪华版,逸动 2025款 PLUS 1.4T 双离合高能版,逸动 2025款 蓝鲸 1.5T 高能版,逸动 2025款 蓝鲸 1.5T 500Bar尊贵型,逸动 2025款 蓝鲸 1.5T 500Bar旗舰型
基本参数,长*宽*高(mm),4785*1840*1460,4785*1840*1460,4785*1840*1460,4770*1840*1440,4785*1840*1440,4785*1840*1440,4785*1840*1450,4730*1820*1505,4730*1820*1505,4770*1840*1440,4770*1840*1440,4770*1840*1440
基本参数,官方0-100km/h加速(s),7.56,7.56,7.56,-,8,8,8,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,210,210,210,210,175,200,200,210,210
基本参数,WLTC综合油耗(L/100km),3.8,3.8,3.98,6.4,6.20,6.20,6.29,6.50,6.65,6.14,6.4,6.4
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1385,1385,1385,1325,1315,1315,1350,1215,1310,1325,1325,1325
基本参数,最大满载质量(kg),1785,1785,1785,1760,1715,1715,1750,1615,1740,1760,1760,1760
车身,长度(mm),4785,4785,4785,4770,4785,4785,4785,4730,4730,4770,4770,4770
车身,宽度(mm),1840,1840,1840,1840,1840,1840,1840,1820,1820,1840,1840,1840
车身,高度(mm),1460,1460,1460,1440,1440,1440,1450,1505,1505,1440,1440,1440
车身,轴距(mm),2765,2765,2765,2765,2765,2765,2765,2700,2700,2765,2765,2765
车身,前轮距(mm),1570,1570,1570,1575,1590,1575,1575,1555,1555,1590,1575,1575
车身,后轮距(mm),1580,1580,1580,1585,1600,1585,1585,1566,1566,1600,1585,1585
车身,接近角(°),15,15,15,14,14,14,14,14,14,14,14,14
车身,离去角(°),19,19,19,18,18,18,18,18,18,18,18,18
车身,最小转弯半径(m),5.7,5.7,5.7,-,5.7,5.7,5.7,5.6,5.6,-,-,-
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,51,51,53,53,51,51,51
车身,后备厢容积(L),500,500,500,520,520,520,520,500,500,520,520,520
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,JL469Q1,JL469Q1,JL469Q1,JL473ZQD,JL473ZQD,JL473ZQD,JL473ZQD,JL473QK,JL473ZQ9,JL473ZQA,JL473ZQD,JL473ZQD
发动机,排量(mL),1497,1497,1497,1494,1494,1494,1494,1494,1392,1494,1494,1494
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,16,16,16,-,10,10,10,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),69,69,69,-,73.5,73.5,73.5,-,-,-,-,-
发动机,行程(mm),100.1,100.1,100.1,-,88,88,88,-,-,-,-,-
发动机,最大马力(Ps),98,98,98,192,192,192,192,110,160,170,192,192
发动机,最大功率(kW),72,72,72,141,141,141,141,81,118,125,141,141
发动机,最大功率转速(rpm),5600,5600,5600,5500,5500,5500,5500,6000,5500,5500,5500,5500
发动机,最大扭矩(N·m),125,125,125,310,310,310,310,152,260,260,310,310
发动机,最大扭矩转速(rpm),3000,3000,3000,1500-4000,1500-4000,1500-4000,1500-4000,4000,1500-4000,1500-4000,1500-4000,1500-4000
发动机,最大净功率(kW),70,70,70,136,136,136,136,78,116,122,136,136
发动机,发动机特有技术,-,-,-,-,-,-,-,DVVT,-,-,-,-
发动机,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-,-,-,-
电动机,电动机总功率(kW),160,160,160,-,-,-,-,-,-,-,-,-
电动机,电动机总马力(Ps),218,218,218,-,-,-,-,-,-,-,-,-
电动机,电动机总扭矩(N·m),251,251,251,-,-,-,-,-,-,-,-,-
电动机,前电动机最大功率(kW),160,160,160,-,-,-,-,-,-,-,-,-
电动机,前电动机最大扭矩(N·m),251,251,251,-,-,-,-,-,-,-,-,-
电动机,驱动电机数,单电机,单电机,单电机,-,-,-,-,-,-,-,-,-
电动机,电机布局,前置,前置,前置,-,-,-,-,-,-,-,-,-
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-,-,-,-,-
电池/充电,电芯品牌,● 欣旺达,● 欣旺达,● 欣旺达,-,-,-,-,-,-,-,-,-
电池/充电,电池能量(kWh),1.7,1.7,1.7,-,-,-,-,-,-,-,-,-
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-,-,-,-,-
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,5挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,1,1,1,7,7,7,7,5,7,7,7,7
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 215/50 R17,● 205/60 R16,● 215/50 R17,● 225/45 R18,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17
车轮制动,后轮胎规格,● 215/55 R17,● 215/55 R17,● 225/45 R18,● 215/50 R17,● 205/60 R16,● 215/50 R17,● 225/45 R18,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 215/50 R17,● 215/50 R17
车轮制动,备胎规格,-,-,-,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,-,-,-,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,-,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,●,-,-,-,-,●
主动安全,主动刹车/主动安全系统,-,●,●,-,-,●,●,-,-,-,-,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,●,-,-,-,●,-,-,-,-,-
主动安全,前方碰撞预警,-,●,●,-,-,●,●,-,-,-,-,●
主动安全,后方碰撞预警,-,-,●,-,-,-,●,-,-,-,-,-
主动安全,内置行车记录仪,●,●,●,●,●,●,●,-,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,-,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,-,●,●,●,●,-,-,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,-,●,●,●,●
驾驶硬件,前方感知摄像头,-,-,-,-,-,-,● 单目,-,-,-,-,-
驾驶硬件,摄像头数量,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 5个,-,● 4个,● 4个,● 4个,● 4个
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 5个,● 5个,-,● 3个,● 3个,● 3个,● 3个
驾驶硬件,毫米波雷达数量,-,● 1个,● 3个,-,-,● 1个,● 2个,-,-,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,-,-,-,-,● L2,-,-,-,-,-
驾驶功能,倒车车侧预警系统,-,-,●,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,"● 高德
● 百度","● 高德
● 百度","● 高德
● 百度",● 高德,"● 高德
● 百度","● 高德
● 百度","● 高德
● 百度",● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,●,-,-,-,●,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,●,-,-,-,-,-
驾驶功能,车道居中保持,-,-,-,-,-,-,●,-,-,-,-,-
驾驶功能,道路交通标识识别,-,-,-,-,-,-,●,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,遥控泊车,●,●,●,-,-,●,●,-,-,-,-,-
驾驶功能,起步提醒,-,-,-,-,-,●,●,-,-,-,-,-
外观/防盗,电动扰流板,-,-,-,-,-,-,○,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,●,●,●,●,●,●,●,-,●,-,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,-,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,-,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●,●,●,●,-,○,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,●,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,● 全车,● 驾驶位,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,-,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,-,-,-,○ 前排,-,-,-,-,-
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,-,-,-,● 速度感应式,● 速度感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 13.2英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 7英寸,● 10.25英寸,● 13.2英寸,● 13.2英寸,● 13.2英寸
互联/智能化,中控屏幕类型,● LCD,● LCD,● LCD,-,● LCD,● LCD,● LCD,-,-,-,-,-
互联/智能化,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,-,● 1920x1080,● 1920x1080,● 1920x1080,-,-,-,-,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联",● 原厂互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink",● 原厂互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink",●,●,●
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗"
互联/智能化,语音助手唤醒词,● 小安，你好,● 小安，你好,● 小安，你好,● 小安，你好,● 小安，你好,● 小安，你好,● 小安，你好,-,-,● 小安，你好,● 小安，你好,● 小安，你好
互联/智能化,语音免唤醒词,●,●,●,-,●,●,●,-,-,-,-,-
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,-,●,●,●,-,-,-,-,-
互联/智能化,可见即可说,●,●,●,-,●,●,●,-,-,-,-,-
互联/智能化,应用商店,●,●,●,●,●,●,●,-,-,●,●,●
互联/智能化,车载智能系统,● 天枢 OS,● 天枢 OS,● 天枢 OS,● 讯飞飞鱼OS,● 天枢 OS,● 天枢 OS,● 天枢 OS,-,-,-,-,-
互联/智能化,车机系统内存(GB),-,-,-,-,● 8,● 8,● 8,-,-,-,-,-
互联/智能化,车机系统存储(GB),-,-,-,-,● 64,● 64,● 64,-,-,-,-,-
互联/智能化,屏幕刷新率[Hz],-,-,-,-,● 60,● 60,● 60,-,-,-,-,-
互联/智能化,多指飞屏操控,-,-,-,-,-,-,●,-,-,-,-,-
互联/智能化,车联网,●,●,●,●,●,●,●,-,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,-,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,-,●,●,●,●
