セクション,セクション_ja,項目,項目_ja,2024年モデル 後輪駆動 標準航続距離 ラグジュアリー版,2022年モデル 後輪駆動 長距離航続 ラグジュアリー版,2022年モデル 後輪駆動 長距離航続 プレミアム版,2022年モデル 4WD 高性能 プレミアム版,2025年モデル LYRIQ V
车身,車体,长度(mm),全長(mm),5003,5003,5003,5003,5013
车身,車体,宽度(mm),全幅(mm),1977,1977,1977,1977,1977
车身,車体,高度(mm),全高(mm),1637,1637,1637,1635,1627
车身,車体,轴距(mm),ホイールベース(mm),3094,3094,3094,3094,3094
车身,車体,前轮距(mm),前トレッド(mm),1676,1676,1676,1676,1676
车身,車体,后轮距(mm),後トレッド(mm),1677,1677,1677,1677,1677
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,17
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,20
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,前备厢容积(L),フロントトランク容量(L),35,35,35,-,-
车身,車体,后备厢容积(L),リアトランク容量(L),521-1549,521-1549,521-1549,521-1549,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,上海自動車,上汽通用
电动机,モーター,后电动机品牌,後モーターブランド,上海自動車,上海自動車,上海自動車,上海自動車,上汽通用
电动机,モーター,前电动机型号,前モーター型式,-,-,-,TZ220XYS76,TZ220XYSTA
电动机,モーター,后电动机型号,後モーター型式,TZ225XYP77,TZ225XYP77,TZ225XYP77,TZ225XYP77,TZ225XYP9C
电动机,モーター,电机类型,モーター種類,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),250,255,255,375,443
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),340,347,347,510,602
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),440,440,440,710,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,155,183
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,305,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),250,255,255,220,260
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),440,440,440,405,-
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,前後置,前後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● 寧徳時代（CATL）,● 寧徳時代（CATL）,● 寧徳時代（CATL）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,エアロゲル断熱,エアロゲル断熱,エアロゲル断熱,エアロゲル断熱,-
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,换电,バッテリー交換対応,非対応,非対応,非対応,非対応,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),502,653,653,608,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),68.4,95.7,95.7,95.7,-
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),-,160,160,160,-
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),14.4,15.6,15.6,16.7,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.55,0.67,0.67,0.67,-
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電範囲(%),20-80,20-80,20-80,20-80,-
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),11.4,15.5,15.5,15.5,-
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電範囲(%),0-100,0-100,0-100,0-100,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左前方,車両左前方,車両左前方,車両左前方,車両左前方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左前方,車両左前方,車両左前方,車両左前方,車両左前方
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 265/50 R20タイヤ,● 265/50 R20タイヤ,● 265/50 R20タイヤ,● 265/50 R20タイヤ,● 275/45 R21タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 265/50 R20タイヤ,● 265/50 R20タイヤ,● 265/50 R20タイヤ,● 265/50 R20タイヤ,● 275/45 R21タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,-
被动安全,衝突安全,缺气保用轮胎,パンク修理キット,●,●,●,●,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,● 全車両,● 全車両,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,○,●,●,●,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● 標準/快適
● スノー
● カスタム/パーソナライズ","● スポーツ
● 標準/快適
● スノー
● カスタム/パーソナライズ","● スポーツ
● 標準/快適
● スノー
● カスタム/パーソナライズ","● スポーツ
● 標準/快適
● スノー
● カスタム/パーソナライズ",-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 6個,● 6個,● 6個,● 6個,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 5個,● 5個,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,○ Super Cruise（高度運転支援システム）,● Super Cruise（高度運転支援システム）,● Super Cruise（高度運転支援システム）,● Super Cruise（高度運転支援システム）,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,○ レベル2,● レベル2,● レベル2,● レベル2,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,-
驾驶功能,運転機能,高精地图,高精度地図,●,●,●,●,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,-
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,○,●,●,●,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,●,-
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,○,●,●,●,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,●,●,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,●,●,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動リアトランク位置メモリー,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● Bluetoothキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキー(キー不要)機能,● 全車両,● 全車両,● 全車両,● 全車両,-
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,-
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,●,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,● 全車両,● 全車両,● 全車両,● 全車両,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,● 前席,● 前席,● 前席,● 前席,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",-
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 33インチ,● 33インチ,● 33インチ,● 33インチ,-
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● MINI LED,● MINI LED,● MINI LED,● MINI LED,-
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 8960×1320,● 8960×1320,● 8960×1320,● 8960×1320,-
互联/智能化,コネクティビティ/スマート機能,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 271PPI,● 271PPI,● 271PPI,● 271PPI,-
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,-
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、キャデラック,● こんにちは、キャデラック,● こんにちは、キャデラック,● こんにちは、キャデラック,-
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載インテリジェントチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-
互联/智能化,コネクティビティ/スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 12,● 12,● 12,● 12,-
互联/智能化,コネクティビティ/スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 64,● 64,● 64,● 64,-
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G,-
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,-
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索",-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー",-
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,-
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 45W,● 45W,● 45W,● 45W,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 15W,● 15W,● 15W,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革,● 本革,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー",-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,● ヒーター,● ヒーター,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,●,●,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,-
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,-
