セクション,項目,北京越野BJ60增程 2026款 增程行政版 5座,北京越野BJ60增程 2026款 增程珠峰版 5座,北京越野BJ60增程 2024款 增程标准版 5座,北京越野BJ60增程 2024款 增程进阶版 5座,北京越野BJ60增程 2024款 增程进阶版 7座,北京越野BJ60增程 2024款 增程珠峰进阶版 5座,北京越野BJ60增程 2026款 享野700
电池/充电,电池能量(kWh),40.3,40.3,40.3,40.3,40.3,40.3,-
电池/充电,百公里耗电量(kWh/100km),24.2,24.2,24.2,24.2,24.2,24.2,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),60,60,60,60,60,60,-
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,-
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,-
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.5,3.5,3.5,3.5,3.5,3.5,-
电池/充电,对外直流放电功率(kW),6,6,6,6,6,6,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架,● 双横臂独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20
车轮制动,后轮胎规格,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20,● 275/55 R20
车轮制动,备胎规格,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸
车轮制动,备胎放置方式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式,● 背负式
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-
主动安全,ABS防抱死,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,"● 前排
● 第二排",● 全车,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,●,-,●,●,●,●,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-
主动安全,DOW开门预警,●,-,●,●,●,●,-
主动安全,前方碰撞预警,●,●,●,●,●,●,-
主动安全,后方碰撞预警,●,●,●,●,●,●,-
主动安全,哨兵模式/千里眼,●,-,●,●,●,●,-
主动安全,低速行车警告,●,●,●,●,●,●,-
主动安全,内置行车记录仪,●,●,●,●,●,●,-
主动安全,道路救援呼叫,●,●,●,●,●,●,-
主动安全,防侧翻系统,●,●,●,●,●,●,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地",-
驾驶操控,单踏板模式,●,●,●,●,●,●,-
驾驶操控,能量回收系统,●,●,●,●,●,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,-
驾驶操控,陡坡缓降,●,●,●,●,●,●,-
驾驶操控,拖挂模式,-,○,○,○,○,○,-
四驱/越野,中央差速器锁止功能,●,●,●,●,●,●,-
四驱/越野,限滑差速器/差速锁,● 后桥差速锁,-,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,● 后桥差速锁,-
四驱/越野,涉水感应系统,●,●,●,●,●,●,-
四驱/越野,蠕行模式,●,●,●,●,●,●,-
四驱/越野,坦克转弯,●,●,●,●,●,●,-
四驱/越野,拖挂钩,-,○ 手动,○ 手动,○ 手动,○ 手动,○ 手动,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,-
驾驶硬件,前方感知摄像头,● 单目,-,● 单目,● 单目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 6个,● 4个,● 6个,● 6个,● 6个,● 6个,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,-
驾驶硬件,毫米波雷达数量,● 4个,-,● 2个,● 4个,● 4个,● 4个,-
驾驶功能,巡航系统,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-
驾驶功能,辅助驾驶等级,● L2,-,● L2,● L2,● L2,● L2,-
驾驶功能,倒车车侧预警系统,●,-,●,●,●,●,-
驾驶功能,车载卫星通信,●,-,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,-
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-
驾驶功能,并线辅助,●,●,●,●,●,●,-
驾驶功能,车道保持辅助系统,●,-,●,●,●,●,-
驾驶功能,车道居中保持,●,-,●,●,●,●,-
驾驶功能,道路交通标识识别,●,-,●,●,●,●,-
驾驶功能,辅助泊车入位,●,-,●,●,●,●,-
驾驶功能,遥控泊车,●,-,●,●,●,●,-
驾驶功能,循迹倒车,●,-,●,●,●,●,-
驾驶功能,辅助变道,●,-,-,●,●,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-
外观/防盗,车顶行李架,●,●,●,●,●,●,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,-
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,-
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-
外观/防盗,远程启动功能,●,-,●,●,●,●,-
外观/防盗,车侧脚踏板,● 电动,-,● 固定,● 电动,● 电动,-,-
外观/防盗,电池预加热,●,●,●,●,●,●,-
外观/防盗,对外放电,●,●,●,●,●,●,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,-
车外灯光,自适应远近光,●,●,●,●,●,●,-
车外灯光,自动头灯,●,●,●,●,●,●,-
车外灯光,转向辅助灯,●,●,●,●,●,●,-
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,大灯高度可调,●,●,●,●,●,●,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,-
天窗/玻璃,天窗类型,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-
天窗/玻璃,车窗一键升降功能,● 全车,● 前排,● 全车,● 全车,● 全车,● 全车,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,-
天窗/玻璃,侧窗多层隔音玻璃,● 前排,-,-,● 前排,● 前排,-,-
天窗/玻璃,后排侧隐私玻璃,●,-,-,●,●,-,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",-
天窗/玻璃,后雨刷,●,●,●,●,●,●,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",-
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-
互联/智能化,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,-
互联/智能化,副驾娱乐屏尺寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,-
互联/智能化,手机互联/映射,●,●,●,●,●,●,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-
互联/智能化,应用商店,●,●,●,●,●,●,-
互联/智能化,车载智能系统,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,● BEIJING OS,-
互联/智能化,多指飞屏操控,●,●,●,●,●,●,-
互联/智能化,车联网,●,●,●,●,●,●,-
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,-
互联/智能化,OTA升级,●,-,●,●,●,●,-
互联/智能化,Wi-Fi热点,●,-,●,●,●,●,-
互联/智能化,手机APP远程功能,●,-,●,●,●,●,-
互联/智能化,主动降噪,●,-,-,●,●,-,-
方向盘/内后视镜,方向盘材质,● 真皮,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮,-
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,-
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘记忆,●,-,●,●,●,●,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,-
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,-
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,-
方向盘/内后视镜,HUD抬头数字显示,●,-,-,●,●,-,-
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
● 流媒体",● 手动防眩目,"● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体",-
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",-
车内充电,USB/Type-C接口数量,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排4个,-
车内充电,220V/230V电源,●,●,●,●,●,●,-
车内充电,手机无线充电功能,● 前排,-,● 前排,● 前排,● 前排,● 前排,-
车内充电,手机无线充电功率,● 50W,-,● 50W,● 50W,● 50W,● 50W,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 真皮,● 真皮,● 仿皮,-
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",-
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)",-
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩",● 加热,● 加热,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",● 加热,-
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-
座椅配置,副驾驶位后排可调节按钮,●,-,●,●,●,●,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,"● 前后调节
● 靠背调节",● 靠背调节,-
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩",-,● 加热,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",● 加热,-
座椅配置,座椅布局,-,-,-,-,● 2-3-2,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-
座椅配置,后排杯架,●,●,●,●,●,●,-
音响/车内灯光,扬声器品牌名称,● Infinity燕飞利仕,● Infinity燕飞利仕,-,● Infinity燕飞利仕,● Infinity燕飞利仕,● Infinity燕飞利仕,-
音响/车内灯光,扬声器数量,● 12喇叭,● 9喇叭,● 9喇叭,● 12喇叭,● 12喇叭,● 9喇叭,-
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,-
音响/车内灯光,车内环境氛围灯,● 256色,-,● 256色,● 256色,● 256色,● 256色,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,-
空调/冰箱,后排独立空调,●,-,●,●,●,●,-
空调/冰箱,后座出风口,●,●,●,●,●,●,-
空调/冰箱,温度分区控制,●,●,●,●,●,●,-
空调/冰箱,车载空气净化器,●,-,-,●,●,●,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,-
空调/冰箱,负离子发生器,●,-,-,●,●,●,-
空调/冰箱,空气质量监测,●,-,-,●,●,-,-
颜色,外观颜色,–,–,–,–,–,–,-
颜色,内饰颜色,–,–,–,–,–,–,-
选装包,车载制氧机,○ 选配 (免费),-,-,-,-,-,-
选装包,牵引资质,-,-,○ 选配 (2000元),○ 选配 (2000元),○ 选配 (2000元),-,-
选装包,全地形轮胎,-,-,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),-,-
