セクション,項目,奔驰EQE 2026款 500 4MATIC 先锋版,奔驰EQE 2026款 500 4MATIC 豪华版,奔驰EQE 2026款 500 4MATIC 旗舰版,奔驰EQE 2025款 500 4MATIC 先锋版,奔驰EQE 2025款 500 4MATIC 豪华版,奔驰EQE 2025款 500 4MATIC 旗舰版
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗"
互联/智能化,语音助手唤醒词,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰
互联/智能化,语音免唤醒词,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
互联/智能化,语音连续识别,●,●,●,●,●,●
互联/智能化,车载智能系统,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX
互联/智能化,车机智能芯片,● 英伟达Xavier,● 英伟达Xavier,● 英伟达Xavier,● 英伟达Xavier,● 英伟达Xavier,● 英伟达Xavier
互联/智能化,车机系统内存(GB),● 8,● 8,● 8,● 8,● 8,● 8
互联/智能化,车机系统存储(GB),● 24,● 24,● 24,● 24,● 24,● 24
互联/智能化,多指飞屏操控,-,-,●,-,-,●
互联/智能化,车联网,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,模拟声浪,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (2400元),○ (2400元),○ (2400元),○,○,○
方向盘/内后视镜,方向盘记忆,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,●,●,-,●,●
方向盘/内后视镜,HUD抬头尺寸,-,● 29英寸,● 29英寸,-,● 29英寸,● 29英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (3000元),○ (3000元),○ (3000元),○ (3000元),○ (3000元),○ (3000元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
○ 通风","● 加热
○ 通风","● 加热
○ 通风 (7000元)","● 加热
○ 通风","● 加热
○ 通风","● 加热
○ 通风"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●
座椅配置,第二排座椅调节,-,-,-,-,-,-
座椅配置,第二排座椅功能,○ 加热 (3300元),○ 加热 (3300元),○ 加热 (3300元),○ 加热,○ 加热,○ 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Burmester柏林之声 (10000元),○ Burmester柏林之声 (10000元),○ Burmester柏林之声 (10000元),○ Burmester柏林之声 (10000元),○ Burmester柏林之声 (10000元),○ Burmester柏林之声 (10000元)
音响/车内灯光,扬声器数量,"○ 15喇叭
● 待查","○ 15喇叭
● 待查","○ 15喇叭
● 待查","○ 15喇叭
● 待查","○ 15喇叭
● 待查","○ 15喇叭
● 待查"
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色
音响/车内灯光,主动式环境氛围灯,-,-,○ (5800元),-,-,○ (5800元)
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●
空调/冰箱,后排独立空调,○ (6100元),○ (6100元),○ (6100元),-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,-,-,-,-,○ (3100元)
空调/冰箱,空气质量监测,●,●,●,●,●,●
特色配置,畅新空气护盾,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–
选装包,智能领航辅助Max,○ 选配 (9500元),-,-,-,-,-
选装包,智享套装4,○ 选配 (22400元),○ 选配 (22400元),-,-,-,-
选装包,智能领航辅助Pro,-,-,-,○ 选配 (9500元),-,-
选装包,智享套装2,-,-,-,○ 选配 (10200元),○ 选配 (10200元),○ 选配 (10200元)
