セクション,セクション_ja,項目,項目_ja,2026年モデル ホンモンコクウ 2.0L 快適版,2026年モデル ホンモンコクウ 2.0L 超快適版,2026年モデル ホンモンコクウ 2.0L インテリジェント超快適版,2026年モデル ホンモンコクウ 2.0T フラッグシップ版,2026年モデル HarmonyOSコックピット 2.0T S380マスター版,2025年モデル 2.0L XL TLS 悦享版,2025年モデル 2.0L SV 黒金版,2025年モデル 2.0T XV 尊享版,2024年モデル 2.0L XE 真心版
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1915,1915,1915,1995,1995,1915,1915,1995,1915
车身,車体,长度(mm),全長(mm),4920,4920,4920,4920,4920,4906,4906,4906,4906
车身,車体,宽度(mm),全幅(mm),1850,1850,1850,1850,1850,1850,1850,1850,1850
车身,車体,高度(mm),全高(mm),1447,1447,1447,1447,1447,1447,1447,1447,1447
车身,車体,轴距(mm),ホイールベース(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825
车身,車体,前轮距(mm),前トレッド(mm),1605,1605,1605,1595,1595,1605,1605,1595,1605
车身,車体,后轮距(mm),後トレッド(mm),1605,1605,1605,1595,1595,1605,1605,1595,1605
车身,車体,空载最小离地间隙(mm),最低地上高(mm),132,132,133,129,129,132,132,133,132
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),12,12,12,12,12,12,12,12,12
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),56,56,56,56,56,56,56,56,56
车身,車体,后备厢容积(L),トランク容量(L),556,556,556,556,556,586,586,586,586
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,MR20,MR20,MR20,KR20,KR20,MR20,MR20,KR20,MR20
发动机,エンジン,排量(mL),排気量(mL),1997,1997,1997,1997,1997,1997,1997,1997,1997
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,ターボチャージャー,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,11.7,11.7,11.7,14,14,11.7,11.7,14,11.7
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,243,243,156,156,243,156
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,179,179,115,115,179,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,5400,5400,6000,6000,5400,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),197,197,197,371,371,197,197,371,197
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4400,4400,4400,4400,4400,4400,4400,4400,4400
发动机,エンジン,最大净功率(kW),最大出力(kW),106,106,106,179,179,106,106,179,106
发动机,エンジン,发动机特有技术,エンジン独自技術,デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング,可変圧縮比／デュアルC-VTC連続可変バルブタイミング,可変圧縮比／デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング,可変圧縮比／デュアルC-VTC連続可変バルブタイミング,デュアルC-VTC連続可変バルブタイミング
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,ハイオクガソリン（95）,ハイオクガソリン（95）,レギュラーガソリン（92）,レギュラーガソリン（92）,ハイオクガソリン（95）,レギュラーガソリン（92）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,混合噴射,混合噴射,直噴,直噴,混合噴射,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速,CVT無段変速,CVT無段変速（8速マニュアルモード）,CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,8,8,無段変速,無段変速,8,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション,● トレーリングアーム式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 235/40 R19タイヤ,● 235/40 R19タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 235/40 R19タイヤ,● 215/55 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 235/40 R19タイヤ,● 235/40 R19タイヤ,● 215/55 R17タイヤ,● 215/55 R17タイヤ,● 235/40 R19タイヤ,● 215/55 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）,● スペアタイヤ（フルサイズではない）
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,●,●,●,-,-,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,●,●,●,-,-,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,●,●,-,-,●,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,●,●,●,-,-,●,-
主动安全,アクティブセーフティ,移动物体预警系统,移動物体警告システム,-,-,●,●,●,-,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● エコ
● 標準／快適","● エコ
● 標準／快適","● エコ
● 標準／快適","● エコ
● 標準／快適","● エコ
● 標準／快適","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ","● スポーツ
● エコ"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前- / 後 ●,前- / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前- / 後 ●,前- / 後 ●,前 ● / 後 ●,前- / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-,● 単眼カメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 5個,● 5個,● 5個,● 1個,● 1個,● 5個,● 1個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個,● 1個,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 8個,● 8個,● 8個,● 4個,● 4個,● 8個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,● プロパイロット,● プロパイロット,● プロパイロット,-,-,● プロパイロット,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,-,-,● レベル2（自動運転支援）,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,●,●,-,-,●,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,"● 高徳
● HUAWEI Petal","● 高徳
● HUAWEI Petal","● 高徳
● HUAWEI Petal","● 高徳
● HUAWEI Petal","● 高徳
● HUAWEI Petal",● 高徳ナビ,● 高徳ナビ,● 高徳ナビ,● 高徳ナビ
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,-,●,●,●,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,●,●,-,-,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,●,●,-,-,●,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,●,●,●,-,-,●,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,●,●,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,●,●,-,-,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 前席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,● 前席,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式,● 速度感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● 施錠時自動格納",● 電動調整
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,●,●,●,●,●,-,-,-,-
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウィンドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話"
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、日産,● こんにちは、日産,● こんにちは、日産,● こんにちは、日産,● こんにちは、日産,-,-,-,-
互联/智能化,互联/智能化,语音免唤醒词,ウェイクワード不要音声認識,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,互联/智能化,语音连续识别,連続音声認識,●,●,●,●,●,-,-,-,-
互联/智能化,互联/智能化,可见即可说,見てすぐ話せる,●,●,●,●,●,-,-,-,-
互联/智能化,互联/智能化,面部识别,顔認証,●,●,●,●,●,-,-,-,-
互联/智能化,互联/智能化,声纹识别,声紋認証,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,应用商店,アプリストア,●,●,●,●,●,-,-,-,-
