セクション,セクション_ja,項目,項目_ja,2025年モデル Max版 55kWh,2025年モデル Ultra版 55kWh,2025年モデル Ultra版 70kWh,2025年モデル Hyper版 70kWh,2025年モデル 曜黒版 70kWh
变速箱,トランスミッション,简称,略称,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 255/60 R20
○ 275/50 R21
○ 285/45 R22（3.00万円）","● 275/50 R21
○ 285/45 R22（3.00万円）","● 275/50 R21
○ 285/45 R22（3.00万円）",● 285/45 R22,● 285/45 R22
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 255/60 R20
○ 275/50 R21
○ 285/45 R22","● 275/50 R21
○ 285/45 R22","● 275/50 R21
○ 285/45 R22",● 285/45 R22,● 285/45 R22
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,●,●,●
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションの種類,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー
四驱/越野,4WD/オフロード,涉水感应系统,水深感知システム,●,●,●,●,●
四驱/越野,4WD/オフロード,拖挂钩,トレーラーフック,○ 電動（7000元）,○ 電動（7000元）,○ 電動（7000元）,○ 電動（7000元）,● 電動
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Drive Thor-U,● NVIDIA Drive Thor-U,● NVIDIA Drive Thor-U,● NVIDIA Drive Thor-U ×2,● NVIDIA Drive Thor-U ×2
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,"● デュアルカメラ
○ トリプルカメラ","● デュアルカメラ
○ トリプルカメラ","● デュアルカメラ
○ トリプルカメラ",● 三眼,● 三眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,"● 11個
○ 13個","● 11個
○ 13個","● 11個
○ 13個",● 13個,● 13個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,"● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個"
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー数,"● 1個
○ 5個","● 1個
○ 5個","● 1個
○ 5個",● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达线数,ライダーライン数,"● 192ライン
○ 520ライン","● 192ライン
○ 520ライン","● 192ライン
○ 520ライン",● 520ライン,● 520ライン
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,"● 千里浩瀚H7
○ 千里浩瀚H9 (2.50万円)","● 千里浩瀚H7
○ 千里浩瀚H9 (2.50万円)","● 千里浩瀚H7
○ 千里浩瀚H9 (2.50万円)",● 千里浩瀚H9,● 千里浩瀚H9
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ路況情報表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精定位,高精度測位,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,夜视系统,ナイトビジョン,○,○,○,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,駐車メモリー機能,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● UWBデジタルキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）,○ 電動（1万円）
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● ピクセル式,● ピクセル式,● ピクセル式,● ピクセル式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライトメッセージ,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,支援運転ライト,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ,● 分割式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側面サンシェード,● 電動,● 電動,● 電動,● 電動,● 電動
天窗/玻璃,サンルーフ・ガラス,后风挡遮阳帘,リアウインドウサンシェード,-,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目"
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ
互联/智能化,互联/智能化,中控屏幕类型,センターコンソール画面タイプ,"● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED"
