セクション,セクション_ja,項目,項目_ja,2025年モデル 35TFSI 進取スポーティー,2025年モデル 35TFSI ファッショナブルスポーティー,2024年モデル 改良版 35TFSI 進取エレガント,2024年モデル 改良版 35TFSI 進取スポーティー,2024年モデル 改良版 35TFSI ファッショナブルエレガント,2024年モデル 改良版 35TFSI ファッショナブルスポーティー,2024年モデル 改良版 35 TFSI RSパッケージ スポーツ,2024年モデル 改良版 35TFSI ラグジュアリーエレガント,2024年モデル 改良版 35TFSI ラグジュアリースポーティー
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4270×1785×1547,4270×1785×1547,4257×1785×1547,4270×1785×1547,4257×1785×1547,4270×1785×1547,4270×1785×1547,4257×1785×1547,4270×1785×1547
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1425,1425,1425,1425,1425,1425,1425,1425,1425
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1875,1875,1875,1875,1875,1875,1875,1875,1875
车身,車体,长度(mm),全長(mm),4270,4270,4257,4270,4257,4270,4270,4257,4270
车身,車体,宽度(mm),全幅(mm),1785,1785,1785,1785,1785,1785,1785,1785,1785
车身,車体,高度(mm),全高(mm),1547,1547,1547,1547,1547,1547,1547,1547,1547
车身,車体,轴距(mm),ホイールベース(mm),2628,2628,2628,2628,2628,2628,2628,2628,2628
车身,車体,前轮距(mm),前トレッド(mm),1543,1543,1543,1543,1543,1543,1543,1543,1543
车身,車体,后轮距(mm),後トレッド(mm),1545,1545,1545,1545,1545,1545,1545,1545,1545
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),142,142,142,142,142,142,142,142,142
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,50,50,50,50,50
车身,車体,后备厢容积(L),トランク容量(L),347,347,347,347,347,347,347,347,347
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DSV,DSV,DSV,DSV,DSV,DSV,DSV,DSV,DSV
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,160,160,160,160,160,160,160
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,118,118,118,118,118,118,118
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,250,250,250,250
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),118,118,118,118,118,118,118,118,118
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
变速箱,トランスミッション,简称,略称,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 215/50 R18
○ 235/40 R19 (1000元)","● 215/50 R18
○ 235/40 R19 (1000元)",● 215/50 R18,"● 215/50 R18
○ 235/40 R19 (3300元)",● 215/50 R18,"● 215/50 R18
○ 235/40 R19 (3300元)",● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 215/50 R18
○ 235/40 R19","● 215/50 R18
○ 235/40 R19",● 215/50 R18,"● 215/50 R18
○ 235/40 R19",● 215/50 R18,"● 215/50 R18
○ 235/40 R19",● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
○ エコ (500元)
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ (500元)
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ
○ 標準/快適
○ カスタム/パーソナライズ","● スポーツ
○ エコ
○ 標準/快適
○ カスタム/パーソナライズ"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,○ バックカメラ (2500元),● バックカメラ,○ バックカメラ (2500元),○ バックカメラ (2500元),● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,○ 単眼カメラ,● 単眼カメラ,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,"● 1個
○ 2個",● 2個,○ 1個,○ 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,"● 8個
○ 12個","● 8個
○ 12個",● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,"● クルーズコントロール
○ アダプティブクルーズコントロール (9000元)",● アダプティブクルーズコントロール,"● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール (9000元)","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール (9000元)","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール (9000元)","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール (9000元)","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール (9000元)","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール (9000元)","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール (9000元)"
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,○,○,○,○,○,○,○,○,○
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,○,●,○,○,○,○,○,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,○,●,○,○,○,○,○,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元)
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元)
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーツスタイル,● スポーツスタイル,-,● スポーツスタイル,-,● スポーツスタイル,● スポーツスタイル,-,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,○ (3000元),○ (3000元),●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー機能,●,●,○,○,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,○,●,○,○,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,○ 前席（3000元）,● 前席,○ 前席（3000元）,○ 前席（3000元）,● 前席,● 前席,● 前席,● 前席,● 前席
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,○,○,○,○,○,○,○,○,○
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライトレインフォグモード,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
○ 電動格納（1000元）
● ドアミラー加熱
○ 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
○ 電動格納（1000元）
● ドアミラー加熱
○ 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
○ 電動格納（1000元）
● ドアミラー加熱
○ 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納
○ 自動防眩目（1000元）","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納
○ 自動防眩目（1000元）"
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,"● 通常液晶画面
○ タッチ液晶画面","● 通常液晶画面
○ タッチ液晶画面","● 通常液晶画面
○ タッチ液晶画面","● 通常液晶画面
○ タッチ液晶画面",● 通常液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 8.8インチ,● 8.8インチ,"● 7インチ
○ 8.3インチ","● 7インチ
○ 8.3インチ","● 7インチ
○ 8.3インチ","● 7インチ
○ 8.3インチ","● 7インチ
○ 8.3インチ",● 8.3インチ,● 8.3インチ
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話機能,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
○ ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
○ ナビゲーション
● 電話","● マルチメディアシステム
○ ナビゲーション
● 電話","● マルチメディアシステム
○ ナビゲーション
● 電話","● マルチメディアシステム
○ ナビゲーション
● 電話","● マルチメディアシステム
○ ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話","● マルチメディアシステム
● ナビゲーション
● 電話"
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,○ Audi Connect,● Audi Connect,○ Audi Connect,○ Audi Connect,○ Audi Connect,○ Audi Connect,○ Audi Connect,● Audi Connect,● Audi Connect
互联/智能化,互联/智能化,车载CD/DVD,車載CD/DVDプレーヤー,-,-,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD
互联/智能化,互联/智能化,触屏振动反馈,タッチスクリーン振動フィードバック,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,车联网,コネクテッドカー機能,○,●,○,○,○,○,○,●,●
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク対応,○ 4G,● 4G,○ 4G,○ 4G,○ 4G,○ 4G,○ 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,○,●,○,○,○,○,○,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
