セクション,セクション_ja,項目,項目_ja,2026年モデル インテリジェントラグジュアリー版,2026年モデル スマートラグジュアリー版,2026年モデル スマートプレミアム版,2026年モデル スマートフラッグシップ版
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2245,2245,2300,2400
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2715,2715,2715,2825
车身,車体,长度(mm),全長(mm),5130,5130,5130,5130
车身,車体,宽度(mm),全幅(mm),1966,1966,1966,1998
车身,車体,高度(mm),全高(mm),1500,1500,1492,1500
车身,車体,轴距(mm),ホイールベース(mm),3020,3020,3020,3020
车身,車体,前轮距(mm),前トレッド(mm),1691,1691,1691,1691
车身,車体,后轮距(mm),後トレッド(mm),1684,1684,1684,1684
车身,車体,最小离地间隙(mm),最低地上高(mm),123,123,125,125
车身,車体,接近角(°),アプローチアングル(°),13,13,12,12
车身,車体,离去角(°),デパーチャーアングル(°),17,17,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.75,5.75,5.75,5.55
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（個）,● 4（個）,● 4（個）,● 4（個）
车身,車体,座位数(个),乗車定員(名),● 5（人）,● 5（人）,● 5（人）,● 5（人）
车身,車体,油箱容积(L),燃料タンク容量(L),46,46,46,46
车身,車体,后备厢容积(L),トランク容量(L),410,410,410,350
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,4A15M3（エンジン型式）,4A15M3（エンジン型式）,4A15M3（エンジン型式）,4A15M3（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,压缩比,圧縮比,14.4,14.4,14.4,14.4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,160,160
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,118,118
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5700,5700,5700,5700
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),220,220,220,220
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2750-5000,2750-5000,2750-5000,2750-5000
发动机,エンジン,最大净功率(kW),最大純出力(kW),115,115,115,115
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン（燃料）,92オクタン（燃料）,92オクタン（燃料）,92オクタン（燃料）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,前：誘導/非同期モーター 後：永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),200,200,200,440
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),272,272,272,598
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),305,305,305,650
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,140
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),200,200,200,300
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),305,305,305,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,三モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証,● 8年または15万km保証
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● 蘇州正力製,● 蘇州正力製,● 蘇州正力製,● 蘇州正力製
电池/充电,バッテリー／充電,电池特有技术,バッテリー独自技術,マガジン式バッテリー,マガジン式バッテリー,マガジン式バッテリー,マガジン式バッテリー
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),178,178,178,163
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,220,200
电池/充电,バッテリー／充電,WLTC综合续航(km),WLTC総合航続距離(km),957,957,957,893
电池/充电,バッテリー／充電,CLTC综合续航(km),CLTC総合航続距離(km),1140,1140,1140,1007
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),35,35,35,35
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),18.1,18.1,18.1,21
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),108,108,108,108
电池/充电,バッテリー／充電,高压平台（V）,高電圧プラットフォーム(V),400,400,400,400
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.3,0.3
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6
电池/充电,バッテリー／充電,对外直流放电功率(kW),外部直流放電出力(kW),6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 三モーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/40 R20タイヤ,● 255/40 R20タイヤ,● 255/40 R20タイヤ,● 255/40 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/40 R20タイヤ,● 255/40 R20タイヤ,● 255/40 R20タイヤ,● 255/40 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席 ○,前席 ● / 後席 ○,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,●,●,●
被动安全,衝突安全,后排正向安全气囊,後席前向きエアバッグ,-,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,-,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／コンフォート
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／コンフォート
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／コンフォート
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整,● サスペンション硬さ調整,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,●,●
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,-,-,● ダブルチャンバー,● ダブルチャンバー
驾驶操控,ドライビングコントロール,电磁感应悬架,電磁誘導サスペンション,○ （5000元）,○ （5000元）,○ （5000元）,○ （5000元）
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 2個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 8個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 3個,● 3個,● 3個,● 5個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー数,-,● 1個,● 1個,● 4個
驾驶硬件,運転ハードウェア,激光雷达线数,ライダーライン数,-,● 192線,● 192線,"● 192線
● 896線"
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● Huawei 乾崑インテリジェントドライブADS,● Huawei 乾崑インテリジェントドライブADS,● Huawei 乾崑インテリジェントドライブADS
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク,-,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック駐車,-,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出アシスト,-,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,-,●,●,●
驾驶功能,運転機能,远程召唤,リモートサモン,-,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,-,"● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● Bluetoothキー
● スターライトキー
● NFC/RFIDキー","● Bluetoothキー
● スターライトキー
● NFC/RFIDキー","● Bluetoothキー
● スターライトキー
● NFC/RFIDキー","● Bluetoothキー
● スターライトキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,-,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,● プログラム可能なスマートヘッドライト,● プログラム可能なスマートヘッドライト
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,-,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,"○ 開閉不可のパノラマサンルーフ
● 分割式開閉不可サンルーフ","○ 開閉不可のパノラマサンルーフ
● 分割式開閉不可サンルーフ","○ 開閉不可のパノラマサンルーフ
● 分割式開閉不可サンルーフ","○ 開閉不可のパノラマサンルーフ
● 分割式開閉不可サンルーフ"
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウインドウ昇降機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,语音连续识别,連続音声認識,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,面部识别,顔認証,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● HarmonySpace,● HarmonySpace,● HarmonySpace,● HarmonySpace
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕,後席液晶モニター,○,○,●,●
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕尺寸,後席液晶モニターサイズ,○ 7.9インチ,○ 7.9インチ,● 7.9インチ,● 7.9インチ
互联/智能化,コネクティビティ／スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,○ 1個,○ 1個,● 1個,● 1個
互联/智能化,コネクティビティ／スマート機能,后排控制多媒体,後席マルチメディア操作,○,○,●,●
互联/智能化,コネクティビティ／スマート機能,车联网,コネクテッドカー,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车内生物监测系统,車内バイオモニタリングシステム,-,-,●,●
