セクション,セクション_ja,項目,項目_ja,2026年モデル Hi4 T,2026年モデル Hi4 T 智享版,2026年モデル Hi4 T ブラックウォリアー,2026年モデル Hi4 Z 智享版,2026年モデル Hi4 Z ブラックウォリアー
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,油箱容积(L),燃料タンク容量(L),70,70,70,77,77
车身,車体,后备厢容积(L),トランク容量(L),1400,1400,1400,1489,1489
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,E20NB（型式）,E20NB（型式）,E20NB（型式）,E20NB（型式）,E20NB（型式）
发动机,エンジン,排量(mL),排気量(mL),1998,1998,1998,1998,1998
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),252,252,252,252,252
发动机,エンジン,最大功率(kW),最大出力(kW),185,185,185,185,185
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),385,385,385,385,385
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1700-4000,1700-4000,1700-4000,1700-4000,1700-4000
发动机,エンジン,最大净功率(kW),最大正味出力(kW),180,180,180,180,180
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,TZ290XH007（部品番号）,TZ290XH007（部品番号）,TZ290XH007（部品番号）,TZ290XH006（部品番号）,TZ290XH006（部品番号）
电动机,モーター,后电动机型号,後モーター型式,-,-,-,TZ220XH008（部品番号）,TZ220XH008（部品番号）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),130,130,130,455,455
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),177,177,177,619,619
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),495,495,495,815,815
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),130,130,130,215,215
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),495,495,495,400,400
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,240,240
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,-,415,415
电动机,モーター,系统综合功率(kW),システム総合出力(kW),310,310,310,635,635
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),422,422,422,864,864
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),750,750,750,1195,1195
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン,前後置エンジン,前後置エンジン
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責事項は公式基準による）,● 生涯保証／非営業用（免責事項は公式基準による）,● 生涯保証／非営業用（免責事項は公式基準による）,● 生涯保証／非営業用（免責事項は公式基準による）,● 生涯保証／非営業用（免責事項は公式基準による）
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● ハニーカムエナジー製バッテリー,● ハニーカムエナジー製バッテリー,● ハニーカムエナジー製バッテリー,● ハニーカムエナジー製バッテリー,● ハニーカムエナジー製バッテリー
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),110,110,110,201,201
电池/充电,バッテリー／充電,WLTC综合续航(km),WLTC総合航続距離(km),900,900,900,1096,1096
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),37.1,37.1,37.1,59.05,59.05
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),24.5,24.5,24.5,27.3,27.3
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),103,103,103,163,163
电池/充电,バッテリー／充電,高压快充,高圧急速充電,-,-,-,対応,対応
电池/充电,バッテリー／充電,高压平台（V）,高圧プラットフォーム（V）,-,-,-,800,800
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.27,0.27,0.27,0.25,0.25
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,电池慢充时间(小时),バッテリー普通充電時間(時間),6.5,6.5,6.5,7.5,7.5
电池/充电,バッテリー／充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),15-100,15-100,15-100,20-100,20-100
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6
变速箱,トランスミッション,简称,略称,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,3速DHT,3速DHT
变速箱,トランスミッション,挡位个数,段数,9,9,9,3,3
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 走行状況に応じた4WD,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 265/55 R19
○ 265/50 R20（5000元追加）
○ 265/60 R18（5000元追加）","● 265/55 R19
○ 265/50 R20（5000元追加）
○ 265/60 R18（5000元追加）",● 265/55 R19,"● 265/55 R19
○ 265/50 R20（5000元追加）
○ 265/60 R18（5000元追加）",● 265/55 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 265/55 R19
○ 265/50 R20
○ 265/60 R18","● 265/55 R19
○ 265/50 R20
○ 265/60 R18",● 265/55 R19,"● 265/55 R19
○ 265/50 R20
○ 265/60 R18",● 265/55 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ,● キャリア装着式スペアタイヤ
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●
四驱/越野,四輪駆動／オフロード,中央差速器锁止功能,センターデフロック機能,●,●,●,-,-
四驱/越野,四輪駆動／オフロード,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,"○ フロントデフロック（6000元追加）
● リアデフロック","○ フロントデフロック（6000元追加）
● リアデフロック",● リアアクスルデフロック,"○ フロントデフロック（6000元追加）
● リアデフロック",● リアアクスルデフロック
四驱/越野,四輪駆動／オフロード,低速四驱,低速4WD,●,●,●,●,●
四驱/越野,四輪駆動／オフロード,蠕行模式,クロールモード,●,●,●,●,●
四驱/越野,四輪駆動／オフロード,坦克转弯,タンクターン,●,●,●,●,●
四驱/越野,四輪駆動／オフロード,拖挂钩,けん引フック,○ マニュアル,○ マニュアル,○ マニュアル,○ マニュアル,○ マニュアル
四驱/越野,四輪駆動／オフロード,拖车取电口,トレーラー電源取り出し口,○,○,○,○,○
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,"● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 双眼カメラ,● 双眼カメラ,● 双眼カメラ,● 双眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,"● 5個
○ 6個","● 11個
○ 12個","● 11個
○ 12個","● 11個
○ 12個","● 11個
○ 12個"
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 2個,● 3個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达品牌,レーザーレーダーブランド,-,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,-,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot,● Coffee Pilot
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,夜视系统,ナイトビジョン,○ （6000元）,○ （6000元）,○ （6000元）,○ （6000元）,○ （6000元）
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,○,○,○,○,○
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,●,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック機能（後退時追従）,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,"● 市街地走行
● 高速道路走行","● 市街地走行
● 高速道路走行","● 市街地走行
● 高速道路走行","● 市街地走行
● 高速道路走行"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● テールゲート,● テールゲート,● テールゲート,● テールゲート,● テールゲート
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
○ Bluetoothキー","● リモコンキー
○ Bluetoothキー","● リモコンキー
○ Bluetoothキー","● リモコンキー
○ Bluetoothキー","● リモコンキー
○ Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 電動,● 電動,● 電動,● 固定式,● 固定式
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側面サンシェード,● 手動,● 手動,● 手動,● 手動,● 手動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●
