セクション,セクション_ja,項目,項目_ja,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 真香型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 尊享型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 旗艦型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 天枢リーダー型,2026年モデル 知慧チャンピオン版 1.5T 新ブルーホエール 知領型,2026年モデル 知慧チャンピオン版 1.5T 新ブルーホエール 知航型,2026年モデル 第4世代 1.5T 新ブルーホエール 尊享型,2026年モデル 第4世代 1.5T 新ブルーホエール 天枢フラッグシップ型,2026年モデル 第4世代 2.0T 新ブルーホエール 天枢擎雲型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧卓越型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧尊享型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧旗艦型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎風型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎雲型
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,2.0T 245馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,2.0T 233馬力 L4,2.0T 233馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,245,245,245,245,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4710×1865×1710（mm）,4710×1865×1710（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）,4770×1910×1705（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.8,7.8,7.8,7.8,7.9,7.9,7.9,7.9,7.3,7.9,7.9,7.9,7.3,7.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,185,185,190,190,190,190,215,190,190,190,215,215
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),4.69,4.69,4.69,4.69,6.96,6.96,6.89,6.89,8.48,6.89,6.89,6.89,7.70,7.70
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1650,1650,1650,1650,1575,1575,1545,1545,1715,1545,1580,1580,1655,1655
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2050,2050,2050,2050,1950,1950,1980,1980,2115,1980,1980,1980,2055,2055
车身,車体,长度(mm),全長(mm),4770,4770,4770,4770,4710,4710,4770,4770,4770,4770,4770,4770,4770,4770
车身,車体,宽度(mm),全幅(mm),1910,1910,1910,1910,1865,1865,1910,1910,1910,1910,1910,1910,1910,1910
车身,車体,高度(mm),全高(mm),1705,1705,1705,1705,1710,1710,1705,1705,1705,1705,1705,1705,1705,1705
车身,車体,轴距(mm),ホイールベース(mm),2800,2800,2800,2800,2710,2710,2800,2800,2800,2800,2800,2800,2800,2800
车身,車体,前轮距(mm),前トレッド(mm),1620,1620,1620,1620,1585,1585,1620,1620,1620,1620,1620,1620,1620,1620
车身,車体,后轮距(mm),後トレッド(mm),1628,1628,1628,1628,1585,1585,1628,1628,1628,1628,1628,1628,1628,1628
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),170,170,170,170,171,171,170,170,170,170,170,170,170,170
车身,車体,空载最小离地间隙(mm),空車時最小地上高(mm),190,190,190,190,190,190,190,190,190,190,190,190,190,190
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20,19,19,20,20,20,20,20,20,20,20
车身,車体,离去角(°),デパーチャーアングル(°),25,25,25,25,24,24,25,25,25,25,25,25,25,25
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,-,-,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),58,58,58,58,58,58,58,58,68,58,58,58,58,58
车身,車体,后备厢容积(L),トランク容量(L),725-1620,725-1620,725-1620,725-1620,620-1450,620-1450,725-1620,725-1620,610-1505,725-1620,725-1620,725-1620,725-1620,725-1620
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL469ZQ1,JL473ZQD（型式）,JL473ZQD（型式）,JL473ZQD（型式）,JL473ZQD（型式）,JL484ZQ1,JL473ZQD（型式）,JL473ZQD（型式）,JL473ZQD（型式）,JL486ZQ5（型式）,JL486ZQ5（型式）
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1497,1494,1494,1494,1494,1997,1494,1494,1494,1998,1998
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,1.5,1.5,1.5,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),150,150,150,150,192,192,192,192,245,192,192,192,233,233
发动机,エンジン,最大功率(kW),最大出力(kW),110,110,110,110,141,141,141,141,180,141,141,141,171,171
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000,5000,5000,5000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),220,220,220,220,310,310,310,310,400,310,310,310,390,390
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),3200-4200,3200-4200,3200-4200,3200-4200,1500-4000,1500-4000,1500-4000,1500-4000,1900-3500,1500-4000,1500-4000,1500-4000,1900-3300,1900-3300
发动机,エンジン,最大净功率(kW),最大出力(kW),105,105,105,105,136,136,136,136,173,136,136,136,166,166
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,-,500Bar超高圧直噴,500Bar超高圧直噴,-,-,-,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),180,180,180,180,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力（Ps）,245,245,245,245,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),290,290,290,290,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力（kW）,180,180,180,180,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク（N·m）,290,290,290,290,-,-,-,-,-,-,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● シンワンダ,● シンワンダ,● シンワンダ,● シンワンダ,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量（kWh）,1.7,1.7,1.7,1.7,-,-,-,-,-,-,-,-,-,-
变速箱,トランスミッション,简称,略称,1速DHT,1速DHT,1速DHT,1速DHT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,8,8,8,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● フロントエンジン四輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動,● 前置エンジン・前輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,-,-,-,-,● 走行状況に応じた四輪駆動,-,-,-,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 235/50 R20タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 235/50 R20タイヤ,● 235/50 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 235/50 R20タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ,● 235/50 R20タイヤ,● 235/50 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,●,●,-,-,-,-,●,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）,● タイヤ空気圧警告システム（TPMS）
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,●,-,-,-,●,●,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,●,-,-,-,●,●,-,-,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,●,●,○,○
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適","● スポーツ
● エコ
● 標準/快適","● スポーツ
● エコ
● 標準/快適","● スポーツ
● エコ
● 標準/快適","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準/快適","● スポーツ
● エコ
● 標準/快適","● スポーツ
● エコ
● 標準/快適","● スポーツ
● エコ
● カスタム／パーソナライズ","● スポーツ
● エコ
● カスタム／パーソナライズ","● スポーツ
● エコ
● カスタム／パーソナライズ","● スポーツ
● エコ
● カスタム／パーソナライズ","● スポーツ
● エコ
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,-,●,●,-,-,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●
