セクション,セクション_ja,項目,項目_ja,2026年モデル ロングレンジ版,2026年モデル 初期限定 乾崑インテリジェントドライブ版,2026年モデル 超ロングレンジ版,2026年モデル quattro 乾崑インテリジェントドライブ版
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),143.5,172.9,172.9,172.9
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),14,15.1,13.8,15.6
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),270,270,270,270
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,800,800,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.35,0.35,0.35
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車左後側,車左後側,車左後側,車左後側
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 225/55 R19
○ 235/45 R20（11,000元）",● 235/45 R20,● 235/45 R20,● 245/40 R21
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 245/50 R19
○ 265/40 R20",● 265/40 R20,● 265/40 R20,● 275/35 R21
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主●／副●,主●／副●,主●／副●,主●／副●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,"前●／後○（2,500元）","前●／後○（2,500元）","前●／後○（2,500元）",前●／後●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前●／後●,前●／後●,前●／後●,前●／後●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,"● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,-,●
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前●／後●,前●／後●,前●／後●,前●／後●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,●,○,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 三眼カメラ,● 単眼カメラ,● 三眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,"● 5個
○ 7個","● 12個
○ 14個","● 5個
○ 7個",● 14個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,-,● HUAWEI（ファーウェイ）,-,● HUAWEI（ファーウェイ）
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR数,-,● 2個,-,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● ファーウェイ乾崑インテリジェントドライブ,-,● ファーウェイ乾崑インテリジェントドライブ
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,○,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,●,○,●
驾驶功能,運転機能,循迹倒车,トレースバック機能（バック時）,-,●,○,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,○,●
驾驶功能,運転機能,信号灯识别,信号認識機能,-,●,○,●
驾驶功能,運転機能,起步提醒,発進リマインダー,-,●,○,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,"● 市街地
● 高速道路","○ 市街地
○ 高速道路","● 市街地
● 高速道路"
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,"○ スポーツスタイル（10,000元）","○ スポーツスタイル（10,000元）","○ スポーツスタイル（10,000元）","○ スポーツスタイル（10,000元）"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキー（キー不要）,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特徴機能,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,自動ヘッドライト,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前●／後●,前●／後●,前●／後●,前●／後●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目",-
外后视镜,外側ドアミラー,电子外后视镜功能,電子式ドアミラー機能,"○ （13,800元）","○ （13,800元）","○ （13,800元）",●
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 14.5インチ,● 14.5インチ,● 14.5インチ,● 14.5インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● OLED,● OLED,● OLED,● OLED
互联/智能化,コネクティビティ/スマート機能,副驾娱乐屏尺寸,助手席エンターテインメント画面サイズ,● 10.9インチ,● 10.9インチ,● 10.9インチ,● 10.9インチ
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、アウディ,● こんにちは、アウディ,● こんにちは、アウディ,● こんにちは、アウディ
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証機能,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約"
互联/智能化,コネクティビティ/スマート機能,模拟声浪,エンジンサウンドシミュレーション,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載カラオケ機能,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整（3,500元）",● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,"○ （1,000元）","○ （1,000元）","○ （1,000元）","○ （1,000元）"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,○,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 11.9インチ,● 11.9インチ,● 11.9インチ,● 11.9インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーター画面素材,● OLED,● OLED,● OLED,● OLED
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD（拡張現実ヘッドアップディスプレイ）,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUD表示サイズ,-,● 88インチ,● 88インチ,● 88インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,"○ （1,500元）","○ （1,500元）","○ （1,500元）","○ （1,500元）"
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主●／副●,主●／副●,主●／副●,主●／副●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
○ マッサージ（7,000元）
○ ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ ヒーター,○ ヒーター,○ ヒーター,○ ヒーター
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前●／後●,前●／後●,前●／後●,前●／後●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Bang & Olufsen,○ Bang & Olufsen,○ Bang & Olufsen,● Bang & Olufsen
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"○ 20スピーカー（11,500元）
● 調査中","○ 20スピーカー（11,500元）
● 調査中","○ 20スピーカー（11,500元）
● 調査中",● 20スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
