セクション,項目,极狐贝塔S3 2026款 460PLUS,极狐贝塔S3 2026款 560MAX,极狐贝塔S3 2026款 560MAX+,极狐贝塔S3 2026款 535 PLUS换电版,极狐贝塔S3 2026款 535 MAX换电版,极狐贝塔S3 2026款 660ULTRA,极狐贝塔S3 2026款 535 MAX+换电版,极狐贝塔S3 2026款 660ULTRA+
车身,后轮距(mm),1655,1655,1655,1655,1655,1655,1655,-
车身,最小离地间隙(mm),127,129,129,127,127,129,127,-
车身,接近角(°),14,14,14,14,14,14,14,14
车身,离去角(°),18,18,18,18,18,18,18,18
车身,最小转弯半径(m),5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),578-1746,578-1746,578-1746,578-1746,578-1746,508-1676,578-1746,508-1676
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),159,159,159,159,159,159,159,159
电动机,电动机总马力(Ps),216,216,216,216,216,216,216,216
电动机,电动机总扭矩(N·m),250,250,250,250,250,250,250,250
电动机,前电动机最大功率(kW),159,159,159,159,159,159,159,159
电动机,前电动机最大扭矩(N·m),250,250,250,250,250,250,250,250
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 亿纬锂能
● 巨湾因湃","● 亿纬锂能
● 巨湾因湃","● 亿纬锂能
● 巨湾因湃",● 宁德时代,● 宁德时代,● 中创新航,● 宁德时代,● 中创新航
电池/充电,电池特有技术,极光电池,极光电池,极光电池,巧克力换电电池,巧克力换电电池,极光电池,巧克力换电电池,极光电池
电池/充电,电池冷却方式,液冷,液冷,液冷,风冷,风冷,液冷,风冷,液冷
电池/充电,换电,-,-,-,支持,支持,-,支持,-
电池/充电,CLTC纯电续航里程(km),460,560,560,535,535,660,535,660
电池/充电,电池能量(kWh),44.1,55.6,55.6,54,54,65.8,54,65.8
电池/充电,电池能量密度(Wh/kg),131.59,133.56,133.56,130.12,130.12,142.54,130.12,142.54
电池/充电,百公里耗电量(kWh/100km),10.8,11,11,12,12,11,12,11
电池/充电,电池组质保,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,400,400,400,400,400,400,400,400
电池/充电,电池快充时间(小时),0.35,0.35,0.35,0.47,0.47,0.35,0.47,0.35
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),7.5,10,10,9,9,12,9,12
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
电池/充电,对外直流放电功率(kW),6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/50 R18,● 215/50 R18,● 215/55 R17,● 215/50 R18,● 215/50 R18,● 215/50 R18,● 235/45 R19
车轮制动,后轮胎规格,● 215/55 R17,● 215/50 R18,● 215/50 R18,● 215/55 R17,● 215/50 R18,● 215/50 R18,● 215/50 R18,● 235/45 R19
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),-,-,前 ● /后 ●,-,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,-,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,●
主动安全,DOW开门预警,-,-,-,-,-,-,-,●
主动安全,前方碰撞预警,-,●,●,-,●,●,●,●
主动安全,后方碰撞预警,-,-,-,-,-,-,-,●
主动安全,哨兵模式/千里眼,-,●,●,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,●,●,-,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,"● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,-,●,●,-,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,● 地平线征程J6B,● 地平线征程J6B,-,● 地平线征程J6B,● 地平线征程J6B,● 地平线征程J6B,● 地平线征程J6M
驾驶硬件,芯片总算力,-,-,-,-,-,-,-,● 128 TOPS
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 双目
驾驶硬件,摄像头数量,● 1个,● 5个,● 5个,● 1个,● 5个,● 5个,● 5个,● 11个
驾驶硬件,车内摄像头数量,-,-,-,-,-,-,-,● 1个
驾驶硬件,超声波雷达数量,● 4个,● 12个,● 12个,● 4个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,-,-,-,-,-,-,● 1个
驾驶硬件,激光雷达品牌,-,-,-,-,-,-,-,● HESAI禾赛科技
驾驶硬件,激光雷达数量,-,-,-,-,-,-,-,● 1个
驾驶硬件,激光雷达线数,-,-,-,-,-,-,-,● 192线
驾驶硬件,激光雷达点云数量,-,-,-,-,-,-,-,● 230万/秒
驾驶功能,巡航系统,-,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● 北汽元境辅助驾驶系统,● 北汽元境辅助驾驶系统,-,● 北汽元境辅助驾驶系统,● 北汽元境辅助驾驶系统,● 北汽元境辅助驾驶系统,● 北汽元境辅助驾驶系统
驾驶功能,辅助驾驶等级,-,● L2,● L2,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,-,-,-,-,●
驾驶功能,卫星导航系统,-,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,-,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,-,-,-,-,●
驾驶功能,车道保持辅助系统,-,●,●,-,●,●,●,●
驾驶功能,车道居中保持,-,●,●,-,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,-,●,●,●,●
驾驶功能,辅助泊车入位,-,●,●,-,●,●,●,●
驾驶功能,记忆泊车,-,-,-,-,-,-,-,●
驾驶功能,循迹倒车,-,●,●,-,●,●,●,●
驾驶功能,辅助变道,-,-,-,-,-,-,-,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,-,-,-,●
驾驶功能,信号灯识别,-,-,-,-,-,-,-,●
驾驶功能,起步提醒,-,●,●,-,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,-,-,-,-,-,"● 城市路段
● 高速路段"
外观/防盗,电动扰流板,-,-,-,-,-,●,-,●
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 钢,● 铝合金
外观/防盗,电动后备厢,-,-,●,-,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,-,●,-,-,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,"● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙",● 遥控钥匙,"● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 全车,● 全车,-,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,-,-,-,-,-,●,-,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,-,-,-,-,-,-,-,-
车外灯光,自适应远近光,-,●,●,-,●,●,●,●
车外灯光,自动头灯,-,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,● 分段式不可开启天窗,-,-,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,-,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,-,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,中控屏幕分辨率,-,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080
互联/智能化,中控屏幕像素密度,-,● 114PPI,● 114PPI,● 114PPI,● 114PPI,● 114PPI,● 114PPI,● 114PPI
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,-,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,-,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,-,● 小狐狸,● 小狐狸,● 小狐狸,● 小狐狸,● 小狐狸,● 小狐狸,● 小狐狸
互联/智能化,语音免唤醒词,-,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,-,● 四区域,● 四区域,● 单区域,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,-,●,●,●,●,●,●,●
互联/智能化,可见即可说,-,●,●,●,●,●,●,●
互联/智能化,面部识别,-,-,-,-,-,-,-,●
互联/智能化,应用商店,-,●,●,-,●,●,●,●
互联/智能化,车载智能系统,-,● 北汽元境OS,● 北汽元境OS,● 北汽元境OS,● 北汽元境OS,● 北汽元境OS,● 北汽元境OS,● 北汽元境OS
互联/智能化,车机系统内存(GB),● 8,● 16,● 16,● 8,● 16,● 16,● 16,● 16
互联/智能化,车机系统存储(GB),● 64,● 128,● 128,● 64,● 128,● 128,● 128,● 128
互联/智能化,车联网,-,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-,-
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,USB/Type-C最大充电功率,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W
车内充电,手机无线充电功能,-,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,● 50W,● 50W,-,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副 ●,主 ● /副 ●,-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,-,"● 加热
● 通风","● 加热
● 通风
● 按摩",-,"● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,-,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",-,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 比例放倒,● 整体放倒,● 整体放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,-,-,●,-,-,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 8喇叭,● 8喇叭,● 4喇叭,● 8喇叭,● 12喇叭,● 8喇叭,● 12喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 256色,-,-,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,-,-,●,-,-,●,●,●
空调/冰箱,空调温度控制方式,● 手动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 自动空调,● 手动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,●,●,-,-,●,-,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
选装包,电池租用服务,-,-,-,○ 选配 (暂无价格),○ 选配 (暂无价格),-,○ 选配 (暂无价格),-
