セクション,セクション_ja,項目,項目_ja,2025年モデル 450智恵版,2025年モデル 520智恵版,2025年モデル 520智行版,2025年モデル 450智恵出行版,2025年モデル 520智恵出行版,2025年モデル 520智行出行版
车身,車体,最小转弯半径(m),最小回転半径(m),5.4,5.4,5.4,5.4,5.4,5.4
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,長沙BYD,長沙BYD,長沙BYD,長沙BYD,長沙BYD,長沙BYD
电动机,モーター,前电动机型号,前モーター型式,TZ180XSJ,TZ180XSJ,TZ180XSJ,TZ180XSJ,TZ180XSJ,TZ180XSJ
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),100,100,100,100,100,100
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),136,136,136,136,136,136
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),180,180,180,180,180,180
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),100,100,100,100,100,100
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),180,180,180,180,180,180
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン,フロントエンジン
电动机,モーター,三电系统质保,三電システム保証,-,-,-,● 6年または60万km,● 6年または60万km,● 6年または60万km
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,-
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● Fudi,● Fudi,● Fudi,● Fudi,● Fudi,● Fudi
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),450,520,520,450,520,520
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),48,57.6,57.6,48,57.6,57.6
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),11.4,11.8,11.8,11.4,11.8,11.8
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),70,84,84,70,84,84
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.47,0.43,0.43,0.47,0.43,0.43
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクタ位置,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクタ位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション,● トーションビーム非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ○ / 後,前 ○ / 後,前 ● / 後,前 ○ / 後,前 ○ / 後,前 ● / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ○ / 後 ○,前 ○ / 後 ○,前 ● / 後 ●,前 ○ / 後 ○,前 ○ / 後 ○,前 ● / 後 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●,前- / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビュー,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 4個,● 1個,● 1個,● 4個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● アルミ合金,● アルミ合金,● 鋼,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● ブルートゥースキー","● リモコンキー
● ブルートゥースキー","● リモコンキー
● ブルートゥースキー","● リモコンキー
● ブルートゥースキー","● リモコンキー
● ブルートゥースキー","● リモコンキー
● ブルートゥースキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒート機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 開閉式パノラマサンルーフ,-,-,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 10.1インチ,● 10.1インチ,● 15.6インチ,● 10.1インチ,● 10.1インチ,● 15.6インチ
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小迪,● こんにちは、小迪,● こんにちは、小迪,● こんにちは、小迪,● こんにちは、小迪,● こんにちは、小迪
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● クアッドゾーン,● デュアルゾーン,● デュアルゾーン,● クアッドゾーン
互联/智能化,コネクティビティ／スマート機能,语音连续识别,連続音声認識,-,-,●,-,-,●
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,-,-,●,-,-,●
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 5G,● 4G,● 4G,● 5G
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ライト操作
● エアコン操作
● 車両位置特定／車両検索","● ドア操作
● ライト操作
● エアコン操作
● 車両位置特定／車両検索","● ドア操作
● ライト操作
● エアコン操作
● 車両位置特定／車両検索","● ドア操作
● ライト操作
● エアコン操作
● 車両位置特定／車両検索","● ドア操作
● ライト操作
● エアコン操作
● 車両位置特定／車両検索","● ドア操作
● ライト操作
● エアコン操作
● 車両位置特定／車両検索"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック,● プラスチック
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト,● 電子式ハンドルシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ,● 5インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,"○ 加熱（運転席のみ）
○ 通気（運転席のみ）","○ 加熱（運転席のみ）
○ 通気（運転席のみ）","● 加熱（運転席のみ）
● 通気（運転席のみ）","○ 加熱（運転席のみ）
○ 通気（運転席のみ）","○ 加熱（運転席のみ）
○ 通気（運転席のみ）","● 加熱（運転席のみ）
● 通気（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–
