セクション,項目,问界M6 2026款 纯电 两驱MAX+ 长续航版,问界M6 2026款 纯电 四驱Ultra,问界M6 2026款 增程 四驱MAX+,问界M6 2026款 增程 四驱Ultra
电池/充电,CLTC纯电续航里程(km),760,705,-,-
电池/充电,电池能量(kWh),97.64,97.64,37,-
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,-,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,-,-,-,-
底盘转向,后悬架类型,-,-,-,-
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)","● 255/50 R20
○ 265/45 R21 (10000元)"
车轮制动,后轮胎规格,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21"
车轮制动,备胎规格,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,-,-,-,-
被动安全,前/后排侧气囊,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-
主动安全,ABS防抱死,-,-,-,-
主动安全,制动力分配(EBD/CBC等),-,-,-,-
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,-
主动安全,胎压监测功能,-,-,-,-
主动安全,安全带未系提醒,-,-,-,-
主动安全,ISOFIX儿童座椅接口,-,-,-,-
主动安全,车道偏离预警系统,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-
驾驶操控,自动驻车,-,-,-,-
驾驶硬件,前/后驻车雷达,-,-,-,-
驾驶硬件,驾驶辅助影像,-,-,-,-
驾驶功能,巡航系统,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-
驾驶功能,并线辅助,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-
外观/防盗,轮圈材质,-,-,-,-
外观/防盗,车内中控锁,-,-,-,-
外观/防盗,钥匙类型,-,-,-,-
外观/防盗,无钥匙启动系统,-,-,-,-
外观/防盗,无钥匙进入功能,-,-,-,-
车外灯光,近光灯光源,-,-,-,-
车外灯光,远光灯光源,-,-,-,-
车外灯光,LED日间行车灯,-,-,-,-
车外灯光,自适应远近光,-,-,-,-
车外灯光,自动头灯,-,-,-,-
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,-,-,-,-
车外灯光,大灯延时关闭,-,-,-,-
天窗/玻璃,天窗类型,-,-,-,-
天窗/玻璃,前/后电动车窗,-,-,-,-
天窗/玻璃,车窗一键升降功能,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-
天窗/玻璃,车内化妆镜,-,-,-,-
天窗/玻璃,后雨刷,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-
外后视镜,外后视镜功能,-,-,-,-
互联/智能化,中控彩色屏幕,-,-,-,-
互联/智能化,中控屏幕尺寸,-,-,-,-
互联/智能化,蓝牙/车载电话,-,-,-,-
互联/智能化,手机互联/映射,-,-,-,-
互联/智能化,语音识别控制系统,-,-,-,-
互联/智能化,车联网,-,-,-,-
互联/智能化,OTA升级,-,-,-,-
方向盘/内后视镜,方向盘材质,-,-,-,-
方向盘/内后视镜,方向盘位置调节,-,-,-,-
方向盘/内后视镜,多功能方向盘,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,-,-,-,-
方向盘/内后视镜,全液晶仪表盘,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-
方向盘/内后视镜,内后视镜功能,-,-,-,-
车内充电,多媒体/充电接口,-,-,-,-
车内充电,USB/Type-C接口数量,-,-,-,-
车内充电,手机无线充电功能,-,-,-,-
座椅配置,座椅材质,-,-,-,-
座椅配置,主座椅调节方式,-,-,-,-
座椅配置,副座椅调节方式,-,-,-,-
座椅配置,主/副驾驶座电动调节,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-
座椅配置,前/后中央扶手,-,-,-,-
座椅配置,后排杯架,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-
音响/车内灯光,扬声器数量,-,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,-,-
空调/冰箱,空调温度控制方式,-,-,-,-
空调/冰箱,后排独立空调,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
