セクション,セクション_ja,項目,項目_ja,2026年モデル DM i 220 スタート版,2026年モデル DM i 220 ナビゲーション版,2026年モデル DM i 220 インテリジェント航行版,2026年モデル DM i 305 ナビゲーション版,2026年モデル DM i 305 インテリジェント航行版,2025年モデル DM i インテリジェントドライブ版 75KM ラグジュアリー型,2025年モデル DM i 75KM ラグジュアリー型,2025年モデル DM i インテリジェントドライブ版 75KM プレミアム型,2025年モデル DM i 75KM プレミアム型,2025年モデル DM i インテリジェントドライブ版 115KM エグゼクティブ型,2025年モデル DM i 115KM エグゼクティブ型,2025年モデル DM i インテリジェントドライブ版 115KM フラッグシップ型,2025年モデル DM i 115KM フラッグシップ型
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,4.5,4.5,4.35,4.4,4.4,4.85,4.85,4.85,4.85,4.9,4.9,4.9,4.9
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低荷電状態燃費(L/100km)NEDC,3.2,3.2,3.1,3.1,3.1,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.52,2.52,2.47,2.44,2.44,3.38,3.38,3.38,3.38,2.97,2.97,2.97,2.97
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,-,-,-,-,-,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1720,1720,1720,1780,1780,1670,1635,1670,1635,1765,1765,1765,1765
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2160,2160,2160,2220,2220,2045,2010,2045,2010,2140,2140,2140,2140
车身,車体,长度(mm),全長(mm),4620,4620,4620,4620,4620,4726,4710,4726,4710,4726,4710,4726,4710
车身,車体,宽度(mm),全幅(mm),1860,1860,1860,1860,1860,1880,1880,1880,1880,1880,1880,1880,1880
车身,車体,高度(mm),全高(mm),1630,1630,1630,1630,1630,1720,1720,1720,1720,1720,1720,1720,1720
车身,車体,轴距(mm),ホイールベース(mm),2770,2770,2770,2770,2770,2712,2712,2712,2712,2712,2712,2712,2712
车身,車体,前轮距(mm),前トレッド(mm),1575,1575,1575,1575,1575,1573,1573,1573,1573,1573,1573,1573,1573
车身,車体,后轮距(mm),後トレッド(mm),1575,1575,1575,1575,1575,1582,1582,1582,1582,1582,1582,1582,1582
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18,18,18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,22,22,22,22,22,22,22,22
车身,車体,最小转弯半径(m),最小回転半径(m),5.25,5.25,5.25,5.25,5.25,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,65,65,65,52,52,52,52,52,52,52,52
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,407-1430,407-1430,407-1430,407-1430,407-1430,407-1430,407-1430,407-1430
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）,BYD472QC（型式）
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),101,101,101,101,101,101,101,101,101,101,101,101,101
发动机,エンジン,最大功率(kW),最大出力(kW),74,74,74,74,74,74,74,74,74,74,74,74,74
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),126,126,126,126,126,126,126,126,126,126,126,126,126
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),70,70,70,70,70,70,70,70,70,70,70,70,70
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）,レギュラーガソリン（92オクタン価）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,前电动机品牌,前モーターブランド,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD
电动机,モーター,前电动机型号,前モーター型式,TZ210QYA（型式）,TZ210QYA（型式）,TZ210QYA（型式）,TZ210QYA（型式）,TZ210QYA（型式）,TZ210XYB（型式）,TZ210XYB（型式）,TZ210XYB（型式）,TZ210XYB（型式）,TZ210XYB（型式）,TZ210XYB（型式）,TZ210XYB（型式）,TZ210XYB（型式）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),120,120,120,120,120,120,120,120,120,120,120,120,120
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),163,163,163,163,163,163,163,163,163,163,163,163,163
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),210,210,210,210,210,210,210,210,210,210,210,210,210
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),120,120,120,120,120,120,120,120,120,120,120,120,120
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),210,210,210,210,210,210,210,210,210,210,210,210,210
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）,● フォーディ（BYDブランド名）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),151,151,155,205,205,64,64,64,64,93,93,93,93
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),220,220,220,305,305,75,75,75,75,115,115,115,115
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),2020,2020,2020,2105,2105,1360,1360,1360,1360,1400,1400,1400,1400
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),26.628,26.628,26.628,34.275,34.275,12.9,12.9,12.9,12.9,18.3,18.3,18.3,18.3
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),15.2,15.2,14.9,16,16,13.1,13.1,13.1,13.1,15.8,15.8,15.8,15.8
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,-,-,-,-,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),57,57,57,74,74,-,-,-,-,18,18,18,18
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.27,0.27,0.27,0.31,0.31,-,-,-,-,0.57,0.57,0.57,0.57
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,-,-,-,-,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,-,-,-,-,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● 4リンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/60 R17タイヤ,● 215/55 R18タイヤ,● 215/55 R18タイヤ,● 215/55 R18タイヤ,● 215/55 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/60 R17タイヤ,● 215/55 R18タイヤ,● 215/55 R18タイヤ,● 215/55 R18タイヤ,● 215/55 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,●,●,●,●,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●
