セクション,セクション_ja,項目,項目_ja,2026年モデル 100kWh,2026年モデル 100kWh 自然奇境版,2025年モデル 100kWh,2025年モデル 100kWh 30万台記念版
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2336,2336,2336,2336
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2843,2843,2843,2843
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),1200,1200,1200,1200
车身,車体,长度(mm),全長(mm),4854,4854,4854,4854
车身,車体,宽度(mm),全幅(mm),1995,1995,1995,1995
车身,車体,高度(mm),全高(mm),1703,1703,1703,1703
车身,車体,轴距(mm),ホイールベース(mm),2915,2915,2915,2915
车身,車体,前轮距(mm),前トレッド(mm),1711,1711,1711,1711
车身,車体,后轮距(mm),後トレッド(mm),1711,1711,1711,1711
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),582-1496,582-1496,582-1496,582-1496
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.25,0.25,0.25,0.25
电动机,モーター,前电动机品牌,前モーターブランド,NIOパワートレイン,NIOパワートレイン,NIOパワートレイン,NIOパワートレイン
电动机,モーター,后电动机品牌,後モーターブランド,NIOパワートレイン,NIOパワートレイン,NIOパワートレイン,NIOパワートレイン
电动机,モーター,前电动机型号,前モーター型式,YS150S001,YS150S001,YS150S001,YS150S001
电动机,モーター,后电动机型号,後モーター型式,TZ210S001,TZ210S001,TZ210S001,TZ210S001
电动机,モーター,电机类型,モーター種類,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期,前交流/非同期 後永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),360,360,360,360
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),490,490,490,490
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),700,700,700,700
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),150,150,150,150
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),280,280,280,280
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),210,210,210,210
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),420,420,420,420
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,前後配置,前後配置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 10年走行距離無制限（免責条項は公式基準に準ずる）,● 10年走行距離無制限（免責条項は公式基準に準ずる）,● 10年走行距離無制限（免責条項は公式基準に準ずる）,● 10年走行距離無制限（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● CATL
● CATL（江蘇時代）
● CALB
● WeLion","● CATL
● CATL（江蘇時代）
● CALB
● WeLion","● CATL
● CATL（江蘇時代）
● CALB
● WeLion","● CATL
● CATL（江蘇時代）
● CALB
● WeLion"
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,换电,バッテリー交換,対応,対応,対応,対応
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),650,630,650,650
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),100,100,100,100
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),16.1,16.1,16.1,16.1
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),180,180,180,180
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.6,0.6,0.6,0.6
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 255/50 R20
○ 265/45 R21（9500元）",● 265/45 R21,"● 255/50 R20
○ 265/45 R21（9500元）","● 255/50 R20
○ 265/45 R21（6000元）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 255/50 R20
○ 265/45 R21",● 265/45 R21,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,メイン ● /サブ ●,メイン ● /サブ ●,メイン ● /サブ ●,メイン ● /サブ ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● /後,前 ● /後,前 ● /後,前 ● /後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
被动安全,衝突安全,缺气保用轮胎,パンク応急用タイヤ,-,-,○,○
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整
驾驶操控,ドライビングコントロール,拖挂模式,トレーラーモード,○,○,○,○
四驱/越野,4WD/オフロード,拖挂钩,トレーラーフック,○ 電動（7500元）,○ 電動（7500元）,○ 電動（7500元）,○ 電動（7500元）
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● Dimensity NX9031,● Dimensity NX9031,● Dimensity NX9031,● Dimensity NX9031
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 2個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型式,● Falcon（ファルコン）,● Falcon（ファルコン）,● Falcon（ファルコン）,● Falcon（ファルコン）
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR数,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,LiDARレーザーライン数,● 300ライン,● 300ライン,● 300ライン,● 300ライン
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,LiDAR 10%反射率検出距離,● 250m,● 250m,● 250m,● 250m
驾驶硬件,運転ハードウェア,激光雷达点云数量,LiDAR点群数,● 80～100万点/秒,● 80～100万点/秒,● 80～100万点/秒,● 80～100万点/秒
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検出距離,● 500m,● 500m,● 500m,● 500m
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Aquila NIO超感システム,● Aquila NIO超感システム,● Aquila NIO超感システム,● Aquila NIO超感システム
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ路況情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精地图,高精度地図,●,●,●,●
驾驶功能,運転機能,高精定位,高精度測位,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動出入支援,○,○,○,○
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●
驾驶功能,運転機能,远程召唤,リモート呼び出し,○,○,○,○
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,"○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーなしアクセス機能,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,○,○,○,○
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● ジオメトリックマルチビーム,● ジオメトリックマルチビーム,● ジオメトリックマルチビーム,● ジオメトリックマルチビーム
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,支援運転ライト,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● AMOLED,● AMOLED,● AMOLED,● AMOLED
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 2880×1800,● 2880×1800,● 2880×1800,● 2880×1800
互联/智能化,コネクティビティ/スマート機能,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、NOMI,● ハイ、NOMI,● ハイ、NOMI,● ハイ、NOMI
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● SkyOS・天枢（てんすう）,● SkyOS・天枢（てんすう）,● SkyOS・天枢（てんすう）,● SkyOS・天枢（てんすう）
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕,後席液晶画面,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕尺寸,後席液晶画面サイズ,● 6.6インチ,● 6.6インチ,● 6.6インチ,● 6.6インチ
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕类型,後席液晶画面タイプ,● MINI LED,● MINI LED,● MINI LED,● MINI LED
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕分辨率,後席液晶画面解像度,● 1268×360,● 1268×360,● 1268×360,● 1268×360
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕像素密度,後席液晶画面ピクセル密度,● 199PPI,● 199PPI,● 199PPI,● 199PPI
互联/智能化,コネクティビティ/スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,● 1個,● 1個,● 1個,● 1個
互联/智能化,コネクティビティ/スマート機能,后排控制多媒体,後席マルチメディア操作,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16
互联/智能化,コネクティビティ/スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,V2X通讯,V2X通信,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车内生物监测系统,車内バイオモニタリングシステム,●,●,●,●
