セクション,セクション_ja,項目,項目_ja,2026年モデル 鼎世版,2025年モデル 鼎世版,Unnamed 4
车身,車体,高度(mm),全高(mm),1921,1921,–
车身,車体,轴距(mm),ホイールベース(mm),3250,3250,–
车身,車体,前轮距(mm),前トレッド(mm),1745,1745,–
车身,車体,后轮距(mm),後トレッド(mm),1743,1743,–
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),-,205,–
车身,車体,最小离地间隙(mm),最低地上高(mm),205,-,–
车身,車体,接近角(°),アプローチアングル(°),27,25,–
车身,車体,离去角(°),デパーチャーアングル(°),24,24.5,–
车身,車体,纵向通过角(°),ランプブレークオーバーアングル(°),18.5,18.5,–
车身,車体,最小转弯半径(m),最小回転半径(m),5.45,-,–
车身,車体,最大涉水深度(mm),最大渡河深度(mm),1000,1000,–
车身,車体,车身结构,ボディ構造,SUV,SUV,–
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,–
车身,車体,车门数(个),ドア数(枚),● 5,● 5,–
车身,車体,座位数(个),乗車定員(名),● 6,● 6,–
车身,車体,油箱容积(L),燃料タンク容量(L),90,90,–
车身,車体,后备厢容积(L),トランク容量(L),386-1115,386-1115,–
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,–
发动机,エンジン,发动机型号,エンジン型式,BYD487ZQD,BYD487ZQD,–
发动机,エンジン,排量(mL),排気量(mL),1997,1997,–
发动机,エンジン,排量(L),排気量(L),2.0,2.0,–
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,–
发动机,エンジン,发动机布局,エンジン配置,横置,横置,–
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,–
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,–
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,–
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,–
发动机,エンジン,最大马力(Ps),最高出力(Ps),272,272,–
发动机,エンジン,最大功率(kW),最大出力(kW),200,200,–
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,–
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,–
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,–
发动机,エンジン,最大净功率(kW),最大出力(kW),180,180,–
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,–
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,–
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,–
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,–
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,–
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,–
电动机,モーター,前电动机品牌,前モーターブランド,BYD,BYD,–
电动机,モーター,后电动机品牌,後モーターブランド,BYD,BYD,–
电动机,モーター,前电动机型号,前モーター型式,TZ220XYBZ+TZ220XYCA,TZ220XYBZ+TZ220XYCA,–
电动机,モーター,后电动机型号,後モーター型式,TZ220XYBZ+TZ220XYCB,TZ220XYBZ+TZ220XYCB,–
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),880,880,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),1197,1197,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),1520,1520,–
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),440,440,–
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),640,640,–
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),440,440,–
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),640,640,–
电动机,モーター,系统综合功率(kW),システム総合出力(kW),880,880,–
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),1197,1197,–
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),1520,1520,–
电动机,モーター,驱动电机数,駆動モーター数,4モーター,4モーター,–
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,–
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,–
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,–
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,–
电池/充电,バッテリー／充電,电池特有技术,バッテリー独自技術,第2世代ブレードバッテリー,ブレードバッテリー,–
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,–
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),230,200,–
电池/充电,バッテリー／充電,CLTC综合续航(km),CLTC総合航続距離(km),1205,1160,–
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),56.58,55.53,–
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,–
电池/充电,バッテリー／充電,快充功率(kW),急速充電出力(kW),574,-,–
电池/充电,バッテリー／充電,高压快充,高圧急速充電,対応,対応,–
电池/充电,バッテリー／充電,高压平台（V）,高圧プラットフォーム(V),800,800,–
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.15,0.23,–
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-97,30-80,–
电池/充电,バッテリー／充電,电池慢充时间(小时),バッテリー普通充電時間(時間),8.4,7.5,–
电池/充电,バッテリー／充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),10-100,15-100,–
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,–
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,–
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,–
电池/充电,バッテリー／充電,对外放电最低允许值(%),外部放電最低許容値(%),15,15,–
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,–
变速箱,トランスミッション,挡位个数,段数,1,1,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 4モーター4WD,● 4モーター4WD,–
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● 電動4WD,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,非一体式ボディ,非一体式ボディ,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● セラミックベンチレーテッドディスク,● セラミックベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● セラミックベンチレーテッドディスク,● セラミックベンチレーテッドディスク,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 285/45 R22
○ 285/40 R23（5.00万元）","● 285/45 R22
○ 285/40 R23（5.00万元）",–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 285/45 R22
○ 285/40 R23","● 285/45 R22
○ 285/40 R23",–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,–
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,–
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,–
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,–
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,–
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,–
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,–
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,–
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道",–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,–
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,–
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",–
驾驶操控,ドライビングコントロール,整体主动转向系统,統合アクティブステアリングシステム,●,●,–
驾驶操控,ドライビングコントロール,后轮转向角度(°),後輪操舵角度(°),● ±6,-,–
四驱/越野,四輪駆動／オフロード,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,"● フロントアクスルデフロック
● リアアクスルデフロック","● フロントアクスルデフロック
● リアアクスルデフロック",–
四驱/越野,四輪駆動／オフロード,涉水感应系统,渡河感知システム,●,●,–
四驱/越野,四輪駆動／オフロード,蠕行模式,クリープモード,●,●,–
四驱/越野,四輪駆動／オフロード,坦克转弯,タンクターン,●,●,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,–
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,–
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Drive Orin 2基,● NVIDIA Drive Orin 2基,–
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 508 TOPS,● 508 TOPS,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● トリプルカメラ,● トリプルカメラ,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 12個,● 12個,–
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 3個,● 3個,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 14個,● 14個,–
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,–
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,● 3個,● 3個,–
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,● 128ライン,● 128ライン,–
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域アダプティブクルーズ,● 全速度域アダプティブクルーズ,–
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● DiPilot 600,● DiPilot 600,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,–
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,–
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,–
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図サービス）,● 高徳（地図サービス）,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,–
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,–
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,–
驾驶功能,運転機能,夜视系统,ナイトビジョン,●,●,–
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,–
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,–
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,●,●,–
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,–
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,–
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,–
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,–
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間",–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,–
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車,● 全車,–
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,○ （3.00万元）,-,–
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,–
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリ,●,●,–
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー",–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,–
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,–
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 電動,● 電動,–
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,–
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,–
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,–
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,–
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降,● 全車,● 全車,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止,●,●,–
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席",–
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,–
天窗/玻璃,サンルーフ・ガラス,后排调光隐私玻璃,後席調光プライバシーガラス,●,●,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,自動感知ワイパー機能,● 雨量感応式,● 雨量感応式,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能",–
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,–
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,–
互联/智能化,コネクティビティ／スマート機能,中控屏幕类型,センターコンソール画面タイプ,● OLED,● OLED,–
互联/智能化,コネクティビティ／スマート機能,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 23.6インチ,● 23.6インチ,–
互联/智能化,コネクティビティ／スマート機能,副驾屏幕类型,助手席画面タイプ,● MINI LED,● MINI LED,–
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,–
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,●,●,–
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ",–
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、仰望,● こんにちは、仰望,–
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,ノーウェイクワード音声認識,●,●,–
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,–
互联/智能化,コネクティビティ／スマート機能,语音连续识别,連続音声認識,●,●,–
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,–
互联/智能化,コネクティビティ／スマート機能,面部识别,顔認証,●,●,–
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,–
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● 仰望Link,● 仰望Link,–
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕,後席液晶画面,●,●,–
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕尺寸,後席液晶画面サイズ,"● 21.4インチ
● 2×5.98インチ","● 21.4インチ
● 2×5.98インチ",–
互联/智能化,コネクティビティ／スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,● 3個,● 3個,–
互联/智能化,コネクティビティ／スマート機能,后排控制多媒体,後席マルチメディア操作,●,●,–
互联/智能化,コネクティビティ／スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 24,● 24,–
互联/智能化,コネクティビティ／スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 512,● 512,–
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,–
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,–
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,–
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,–
互联/智能化,コネクティビティ／スマート機能,车内生物监测系统,車内生体モニタリングシステム,●,●,–
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約",–
互联/智能化,コネクティビティ／スマート機能,车载KTV,車載KTV,●,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 23.6インチ,● 23.6インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーターパネル画面素材,● MINI LED,● MINI LED,–
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 70インチ,● 70インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー",–
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C",–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席4個,–
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 100W,● 100W,–
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,"● 前席
● 後席","● 前席
● 後席",–
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,–
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,–
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,–
