セクション,セクション_ja,項目,項目_ja,2025年モデル 宗師シリーズ スーパーHV版,2024年モデル 領秀シリーズ 390T ラグジュアリー版,2024年モデル 領秀シリーズ 390T プレミアム版,2024年モデル 大師シリーズ 400T プレミアム版,2024年モデル 宗師シリーズ 400T パイオニア版,2024年モデル 宗師シリーズ 400T プレミアムエディション,2024年モデル 宗師シリーズ 400T テクノロジーケア版,2024年モデル 大師シリーズ スーパーHV版,2023年モデル 宗師シリーズ 400T フラッグシップ版,2026年モデル HEV プレミアム版,2026年モデル HEV プレミアムエディション
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),2245,2020,2020,2060,2150,2150,2230,2245,2150,2241,2275
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2890,2600,2600,2790,2790,2790,-,2890,2790,-,-
车身,車体,长度(mm),全長(mm),5212,5089,5089,5212,5212,5212,5212,5212,5212,5212,5212
车身,車体,宽度(mm),全幅(mm),1893,1884,1884,1893,1893,1893,1893,1893,1893,1893,1893
车身,車体,高度(mm),全高(mm),1823,1822,1822,1823,1823,1823,1823,1823,1823,1823,1823
车身,車体,轴距(mm),ホイールベース(mm),3070,3000,3000,3070,3070,3070,3070,3070,3070,3070,3070
车身,車体,前轮距(mm),前トレッド(mm),1628,1620,1620,1628,1628,1628,1628,1628,1628,1628,1628
车身,車体,后轮距(mm),後トレッド(mm),1638,1635,1635,1638,1638,1638,1638,1638,1638,1638,1638
车身,車体,接近角(°),アプローチアングル(°),12,13,13,14,12,12,12,14,12,12,12
车身,車体,离去角(°),デパーチャーアングル(°),16,14,14,17,16,16,16,17,16,16,16
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,65,65,65,65,65,65,65,65,65
车身,車体,后备厢容积(L),トランク容量(L),516-1586,-,-,516-1586,516-1586,516-1586,516-1586,516-1586,516-1586,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,4B20J2,4B20J1,4B20J1,4B20J1,4B20J1,4B20J1,4B20J1,4B20J2,4B20J1,4B20J2,4B20J2
发动机,エンジン,排量(mL),排気量(mL),1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),190,252,252,252,252,252,252,190,252,190,190
发动机,エンジン,最大功率(kW),最大出力(kW),140,185,185,185,185,185,185,140,185,140,140
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4500-5000,5250,5250,5250,5250,5250,5250,4500-5000,5250,4500-5000,4500-5000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),330,390,390,400,400,400,400,330,400,330,330
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1500-4000,1750-4000,1500-4000,1500-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),140,170,170,170,170,170,170,140,170,140,140
发动机,エンジン,发动机特有技术,エンジン独自技術,-,DCVVT,DCVVT,DCVVT,DCVVT,DCVVT,DCVVT,-,DCVVT,-,-
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ガソリン,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,レギュラーガソリン（92）,ハイオクガソリン（95）,レギュラーガソリン（92）,レギュラーガソリン（92）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,鋳鉄,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,-,-,-,-,-,-,永久磁石同期モーター,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),134,-,-,-,-,-,-,134,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),181,-,-,-,-,-,-,181,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),300,-,-,-,-,-,-,300,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),134,-,-,-,-,-,-,134,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),300,-,-,-,-,-,-,300,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,-,-,-,-,-,-,単一モーター,-,-,-
电动机,モーター,电机布局,モーター配置,前置き,-,-,-,-,-,-,前置き,-,前置き,前置き
电动机,モーター,三电系统质保,三電システム保証,● 8年または20万km保証,-,-,-,-,-,-,● 8年または20万km保証,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,-,-,-,-,-,-,● 三元リチウム電池,-,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● シンワンダ製,-,-,-,-,-,-,● シンワンダ製,-,-,-
变速箱,トランスミッション,简称,略称,2速DHT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,2速DHT,8速AT,2速DHT,2速DHT
变速箱,トランスミッション,挡位个数,段数,2,8,8,8,8,8,8,2,8,2,2
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用変速機（DHT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,ハイブリッド専用変速機（DHT）,自動変速機（AT）,ハイブリッド専用変速機（DHT）,ハイブリッド専用変速機（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/55 R18タイヤ,● 225/60 R17タイヤ,● 225/60 R17タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/55 R18タイヤ,● 225/60 R17タイヤ,● 225/60 R17タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,● フルサイズではない,● フルサイズではない,-,● なし,-,● なし,-,● なし,-,-
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,-,● 底部装着式,● 底部装着式,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席● / 後席●,-,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
被动安全,衝突安全,后风挡安全气囊,リアウインドウエアバッグ,●,-,-,-,●,●,●,●,●,●,●
被动安全,衝突安全,缺气保用轮胎,パンク応急タイヤ,-,-,-,-,-,-,-,-,○,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 全席,● 全席,● 全席,● 前席,● 全席,"● 前席
● 第二列席","● 前席
● 第二列席"
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,-,-,-,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,-,-,-,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,●,-,-,-,●,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,-,-,-,●,●,●,●,●,-,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,-,-,-,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,-,-,-,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,-,-,-,-,-,-,●,-,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,-,-,-,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,-,-,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,-,●,●,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,-,-,-,-,-,-,●,-,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,● サスペンション硬さ調整,-,-,-,● サスペンション硬さ調整,-,-
驾驶操控,ドライビングコントロール,电磁感应悬架,電磁誘導サスペンション,-,-,-,-,●,-,-,-,●,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席● / 後席●,前-/後●,前-/後●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● バックカメラ,● バックカメラ,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,-,-,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,-,-,-,● 単眼,● 単眼,● 単眼,● 単眼,-,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 1個,● 1個,● 4個,● 5個,● 5個,● 5個,● 5個,● 8個,● 5個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,-,-,● 2個,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 6個,-,-,● 6個,● 12個,● 6個,● 6個,● 6個,● 6個,● 6個,● 6個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 3個,-,-,-,● 3個,● 3個,● 3個,● 3個,● 3個,● 1個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● ADiGOパイロット,-,-,-,● ADiGOパイロット,● ADiGOパイロット,● ADiGOパイロット,● ADiGOパイロット,● ADiGO,● ADiGOパイロット,● ADiGOパイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,-,-,-,●,●,●,●,●,-,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,-,-,● 高徳（Gaode）,-,● 高徳（Gaode）,-,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,AR实景导航,ARナビゲーション,●,-,-,-,-,●,●,●,●,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,-,-,-,●,●,●,●,●,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,-,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,-,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,-,-,-,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,●,-,-,-,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,-,●,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側電動,● 両側手動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動,● 両側電動
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,-,-,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,-,-,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,-,-,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,"● リモコンキー
● ブルートゥースキー",● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,-,-,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,-,-,-,●,●,●,-,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,-,-,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ
