セクション,セクション_ja,項目,項目_ja,2026年モデル 103度後輪駆動 Max版,2026年モデル 95度4WD Max版,2026年モデル 103度4WD Ultra版,2026年モデル 103度4WD Ultra+版,2026年モデル 103度4WD 5周年記念版
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬さ調整,● サスペンション硬さ調整,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",-
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,●,●,-
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,-,-,● ダブルチャンバー,● ダブルチャンバー,-
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,●,●,●,●,-
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●,●
驾驶操控,ドライビングコントロール,拖挂模式,けん引モード,○,○,○,○,○
四驱/越野,4WD/オフロード,拖挂钩,けん引フック,○ 電動,○ 電動,○ 電動,○ 電動,○ 電動
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Drive Thor-U,● NVIDIA Drive Thor-U,● NVIDIA Drive Thor-U,● NVIDIA Drive Thor-U,● NVIDIA Drive Thor-U
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 700 TOPS,● 700 TOPS,● 700 TOPS,● 700 TOPS,● 700 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 11個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー数,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● 千里浩瀚H7,● 千里浩瀚H7,● 千里浩瀚H7,● 千里浩瀚H7,● 千里浩瀚H7
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ路況情報表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,○,○,○,○,○
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動出入支援,○,○,○,○,○
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,"○ 市街地走行
○ 高速道路走行","○ 市街地走行
○ 高速道路走行","○ 市街地走行
○ 高速道路走行","○ 市街地走行
○ 高速道路走行","○ 市街地走行
○ 高速道路走行"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,○,○,○,●,●
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,○,○,○,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライトメッセージ,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,星空天窗,星空サンルーフ,○,○,○,●,●
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,○,○,○,●,●
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
天窗/玻璃,サンルーフ・ガラス,可加热喷水嘴,ヒーター付ウォッシャーノズル,●,●,●,●,●
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目機能"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 3.5K解像度,● 3.5K解像度,● 3.5K解像度,● 3.5K解像度,● 3.5K解像度
互联/智能化,コネクティビティ/スマート機能,向日葵旋转屏,ヒマワリ回転式画面,-,-,-,●,●
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● 純正インターネット接続／ミラーリング
● HUAWEI HiCar対応","● 純正インターネット接続／ミラーリング
● HUAWEI HiCar対応","● 純正インターネット接続／ミラーリング
● HUAWEI HiCar対応","● 純正インターネット接続／ミラーリング
● HUAWEI HiCar対応","● 純正インターネット接続／ミラーリング
● HUAWEI HiCar対応"
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、EVA（音声アシスタント）,● ハイ、EVA（音声アシスタント）,● ハイ、EVA（音声アシスタント）,● ハイ、EVA（音声アシスタント）,● ハイ、EVA（音声アシスタント）
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,無起動ワード音声認識,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）
