セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T ディーゼル版 長風,2026年モデル 2.0T 高地,2025年モデル 2.0T ディーゼル版,2025年モデル 2.0T 検閲官,2025年モデル 2.0T 長風,2024年モデル 2.0T メカニック,2024年モデル 2.0T エクスプローラー
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 170馬力 L4,2.0T 252馬力 L4,2.0T 170馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4,2.0T 252馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4749×1945×1999mm,4811×1945×1999mm,4705×1895×1936mm,4705×1895×1936mm,4749×1945×1999mm,4705×1895×1936mm,4705×1895×1936mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),155,170,160,170,170,170,170
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.9,11.3,8.5,10.9,11.3,10.9,10.9
基本参数,基本仕様,整车质保,車両保証,● 3年または6万km保証,● 3年または6万km保証,● 3年または6万km保証,● 3年または6万km保証,● 3年または6万km保証,● 3年または6万km保証,● 3年または6万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証制度,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2390,2265,2235,2150,2265,2150,2150
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2825,2640,2640,2640,2640,2640,2640
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),2500,2500,2500,2500,2500,2500,2500
车身,車体,长度(mm),全長(mm),4749,4811,4705,4705,4749,4705,4705
车身,車体,宽度(mm),全幅(mm),1945,1945,1895,1895,1945,1895,1895
车身,車体,高度(mm),全高(mm),1999,1999,1936,1936,1999,1936,1936
车身,車体,轴距(mm),ホイールベース(mm),2860,2860,2860,2860,2860,2860,2860
车身,車体,前轮距(mm),前トレッド(mm),1640,1640,1598,1598,1640,1598,1598
车身,車体,后轮距(mm),後トレッド(mm),1640,1640,1598,1598,1640,1598,1598
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),256,256,235,235,256,235,235
车身,車体,接近角(°),アプローチアングル(°),43,42,40,40,43,40,40
车身,車体,离去角(°),デパーチャーアングル(°),39,38,36,36,39,36,36
车身,車体,纵向通过角(°),縦方向通過角(°),28.1,28.1,23.6,23.6,28.1,23.6,23.6
车身,車体,最大爬坡度(%),最大登坂能力(%),100,100,100,100,100,100,100
车身,車体,最大涉水深度(mm),最大渡河深度(mm),910,910,850,850,910,850,850
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),80,80,80,80,80,80,80
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,4F20TC53,N20TG,4F20TC53,N20TG,N20TG,N20TG,N20TG
发动机,エンジン,排量(mL),排気量(mL),1968,1998,1968,1998,1998,1998,1998
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),170,252,170,252,252,252,252
发动机,エンジン,最大功率(kW),最大出力(kW),125,185,125,185,185,185,185
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,5500,-,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),415,410,415,410,410,410,410
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,1900-3300,-,1900-3300,1900-3300,1900-3300,1900-3300
发动机,エンジン,最大净功率(kW),最大出力(kW),122,175,122,175,175,175,175
发动机,エンジン,能源类型,エネルギータイプ,ディーゼル,ガソリン,ディーゼル,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,0号燃料,92号ガソリン,0号燃料,92号ガソリン,92号ガソリン,92号ガソリン,92号ガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション,● 5リンクリジッドアクスル非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動油圧パワーステアリング,● 電動油圧パワーステアリング,● 電動油圧パワーステアリング,● 電動油圧パワーステアリング,● 電動油圧パワーステアリング,● 電動油圧パワーステアリング,● 電動油圧パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 285/70 R17タイヤ,● 285/70 R17タイヤ,● 265/70 R17タイヤ,● 265/65 R18タイヤ,● 285/70 R17タイヤ,● 265/70 R17タイヤ,● 265/70 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 285/70 R17タイヤ,● 285/70 R17タイヤ,● 265/70 R17タイヤ,● 265/65 R18タイヤ,● 285/70 R17タイヤ,● 265/70 R17タイヤ,● 265/70 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● リア装着式,● リア装着式,● リア装着式,● リア装着式,● リア装着式,● リア装着式,● リア装着式
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,-,-,前席● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,-,●,●,-,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,-,●,●,-,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,-,●,●,-,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,-,●,-,-,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,●,-,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●
四驱/越野,4WD／オフロード,中央差速器锁止功能,センターデフロック機能,●,●,●,●,●,●,●
四驱/越野,4WD／オフロード,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,"● フロントデフロック
● リアデフロック","● フロントデフロック
● リアデフロック","○ フロントデフロック
● リアデフロック","● フロントデフロック
● リアデフロック","● フロントデフロック
● リアデフロック",○ リアデフロック,"○ フロントデフロック
● リアデフロック"
四驱/越野,4WD／オフロード,低速四驱,低速4WD,●,●,●,●,●,●,●
四驱/越野,4WD／オフロード,蠕行模式,クローリングモード,●,-,●,-,-,-,-
四驱/越野,4WD／オフロード,坦克转弯,タンクターン,●,-,●,-,-,-,-
四驱/越野,4WD／オフロード,涉水喉,ウォーターフォードチューブ,○,●,-,-,●,-,-
四驱/越野,4WD／オフロード,绞盘,ウインチ,-,-,-,-,○ フロント部,○ フロント部,○ フロント部
四驱/越野,4WD／オフロード,拖挂钩,トレーラーフック,○ 手動,● 手動,○ 手動,○ 手動,● 手動,○ 手動,○ 手動
四驱/越野,4WD／オフロード,拖车取电口,トレーラー電源ソケット,○,●,○,○,●,○,○
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,-,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 4個,● 5個,● 5個,● 1個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● アダプティブクルーズコントロール,● アダプティブクルーズコントロール,● クルーズコントロール,● アダプティブクルーズコントロール,● アダプティブクルーズコントロール,● クルーズコントロール,● アダプティブクルーズコントロール
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,-,●,●,-,●
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 固定式,● 固定式,● 固定式,● 電動,● 固定式,● 固定式,● 固定式
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,-,●,●,-,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,●,●,-,-,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,● LED,-,● LED,● LED,-,-,● LED
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,○ 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,○ 電動サンルーフ,○ 電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,-,-,-,●,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクテッド／スマート化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクテッド／スマート化,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
互联/智能化,コネクテッド／スマート化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●
互联/智能化,コネクテッド／スマート化,手机互联/映射,スマホ連携/ミラーリング,● 純正インターネット連携／ミラーリング,● 純正インターネット連携／ミラーリング,● 純正インターネット連携／ミラーリング,● 純正インターネット連携／ミラーリング,● 純正インターネット連携／ミラーリング,● 純正インターネット連携／ミラーリング,● 純正インターネット連携／ミラーリング
互联/智能化,コネクテッド／スマート化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
互联/智能化,コネクテッド／スマート化,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
互联/智能化,コネクテッド／スマート化,车联网,コネクテッドカー,●,●,●,●,●,●,●
互联/智能化,コネクテッド／スマート化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクテッド／スマート化,OTA升级,OTAアップデート,●,●,●,●,●,●,●
互联/智能化,コネクテッド／スマート化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
互联/智能化,コネクテッド／スマート化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車探し"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,-,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能,● 手動防眩機能
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
