セクション,項目,帕萨特插电混动 2025款 430PHEV 混动商务版,
电动机,驱动电机数,单电机,–
电动机,电机布局,前置,–
电动机,三电系统质保,● 八年或12万公里,–
电池/充电,电池类型,● 三元锂电池,–
电池/充电,电芯品牌,● 上汽大众,–
电池/充电,电池冷却方式,液冷,–
电池/充电,NEDC纯电续航里程(km),63,–
电池/充电,WLTC纯电续航里程(km),52,–
电池/充电,电池能量(kWh),13,–
电池/充电,百公里耗电量(kWh/100km),18.2,–
变速箱,简称,6挡湿式双离合,–
变速箱,挡位个数,6,–
变速箱,变速箱类型,湿式双离合变速箱(DCT),–
底盘转向,驱动方式,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,–
底盘转向,车体结构,承载式,–
车轮制动,前制动器类型,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,–
车轮制动,前轮胎规格,● 215/60 R16,–
车轮制动,后轮胎规格,● 215/60 R16,–
车轮制动,备胎规格,● 补胎工具,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,–
主动安全,ABS防抱死,●,–
主动安全,制动力分配(EBD/CBC等),●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,–
主动安全,胎压监测功能,● 胎压报警,–
主动安全,安全带未系提醒,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,–
主动安全,车道偏离预警系统,-,–
主动安全,主动刹车/主动安全系统,●,–
主动安全,疲劳驾驶提示,-,–
主动安全,前方碰撞预警,●,–
主动安全,低速行车警告,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济",–
驾驶操控,发动机启停技术,●,–
驾驶操控,能量回收系统,●,–
驾驶操控,自动驻车,●,–
驾驶操控,上坡辅助,●,–
驾驶硬件,前/后驻车雷达,前-/后 ●,–
驾驶硬件,驾驶辅助影像,-,–
驾驶硬件,超声波雷达数量,● 4个,–
驾驶功能,巡航系统,-,–
驾驶功能,卫星导航系统,●,–
驾驶功能,导航路况信息显示,●,–
驾驶功能,并线辅助,-,–
驾驶功能,车道保持辅助系统,-,–
驾驶功能,辅助泊车入位,-,–
外观/防盗,轮圈材质,● 铝合金,–
外观/防盗,发动机电子防盗,●,–
外观/防盗,车内中控锁,●,–
外观/防盗,钥匙类型,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,●,–
外观/防盗,无钥匙进入功能,● 前排,–
车外灯光,近光灯光源,● LED,–
车外灯光,远光灯光源,● LED,–
车外灯光,LED日间行车灯,●,–
车外灯光,自适应远近光,-,–
车外灯光,自动头灯,●,–
车外灯光,车前雾灯,-,–
车外灯光,前大灯雨雾模式,●,–
车外灯光,大灯高度可调,●,–
车外灯光,大灯延时关闭,●,–
天窗/玻璃,天窗类型,● 电动天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,–
天窗/玻璃,车窗防夹手功能,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,-,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 9.2英寸,–
互联/智能化,蓝牙/车载电话,●,–
互联/智能化,手机互联/映射,"● 支持CarLife
● 原厂互联/映射",–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话",–
互联/智能化,语音分区域唤醒识别,● 单区域,–
互联/智能化,应用商店,●,–
互联/智能化,车载智能系统,● MOS智慧车联,–
互联/智能化,车联网,●,–
互联/智能化,4G/5G网络,● 4G,–
互联/智能化,OTA升级,-,–
互联/智能化,Wi-Fi热点,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）",–
方向盘/内后视镜,方向盘材质,● 塑料,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 机械挡把换挡,–
方向盘/内后视镜,多功能方向盘,●,–
方向盘/内后视镜,方向盘加热,-,–
方向盘/内后视镜,方向盘记忆,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,-,–
方向盘/内后视镜,液晶仪表尺寸,● 8英寸,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,–
车内充电,多媒体/充电接口,"● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,–
车内充电,手机无线充电功能,-,–
座椅配置,座椅材质,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,-,–
座椅配置,前排座椅功能,-,–
座椅配置,电动座椅记忆功能,-,–
座椅配置,副驾驶位后排可调节按钮,-,–
座椅配置,第二排座椅调节,-,–
座椅配置,后排座椅放倒形式,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,–
座椅配置,后排杯架,●,–
音响/车内灯光,扬声器品牌名称,-,–
音响/车内灯光,扬声器数量,● 8喇叭,–
音响/车内灯光,车内环境氛围灯,● 单色,–
空调/冰箱,空调温度控制方式,● 自动空调,–
空调/冰箱,后排独立空调,●,–
空调/冰箱,后座出风口,●,–
空调/冰箱,温度分区控制,●,–
空调/冰箱,车载空气净化器,●,–
空调/冰箱,车内PM2.5过滤装置,●,–
颜色,外观颜色,–,–
颜色,内饰颜色,–,–
