セクション,項目,宋Ultra 2026款 DM-i 205KM 领先型,宋Ultra 2026款 DM-i 205KM 超越型,宋Ultra 2026款 DM-i 310KM 领先型,宋Ultra 2026款 DM-i 310KM 超越型,宋Ultra 2026款 DM-i 310KM 卓越型,宋Ultra 2026款 EV 605KM 领先型,宋Ultra 2026款 EV 605KM 超越型,宋Ultra 2026款 EV 710KM 超越型,宋Ultra 2026款 EV 710KM 卓越型
基本参数,发动机,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),238,238,238,238,238,326,326,367,367
基本参数,长*宽*高(mm),4850*1910*1670,4850*1910*1670,4850*1910*1670,4850*1910*1670,4850*1910*1670,4850*1910*1670,4850*1910*1670,4850*1910*1670,4850*1910*1670
基本参数,官方0-100km/h加速(s),7.5,7.5,7.9,7.9,7.9,6.8,6.8,7.2,7.2
基本参数,最高车速(km/h),180,180,180,180,180,210,210,210,210
基本参数,WLTC综合油耗(L/100km),0.63,0.63,0.43,0.43,0.43,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.6,4.6,4.65,4.65,4.65,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,3.3,3.3,3.3,3.3,3.3,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,1.47,1.47,1.54,1.54
基本参数,油电综合燃料消耗量(L/100km),2.62,2.62,2.5,2.5,2.5,-,-,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1890,1890,1960,1960,1960,1930,1930,2050,2050
基本参数,最大满载质量(kg),2345,2345,2415,2415,2415,2385,2385,2505,2505
车身,长度(mm),4850,4850,4850,4850,4850,4850,4850,4850,4850
车身,宽度(mm),1910,1910,1910,1910,1910,1910,1910,1910,1910
车身,高度(mm),1670,1670,1670,1670,1670,1670,1670,1670,1670
车身,轴距(mm),2840,2840,2840,2840,2840,2840,2840,2840,2840
车身,前轮距(mm),1637,1637,1637,1637,1637,1637,1637,1637,1637
车身,后轮距(mm),1641,1641,1641,1641,1641,1641,1641,1641,1641
车身,接近角(°),18,18,18,18,18,18,18,18,18
车身,离去角(°),22,22,22,22,22,22,22,22,22
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60,60,-,-,-,-
车身,前备厢容积(L),-,-,-,-,-,150,150,150,150
车身,后备厢容积(L),680-1659,680-1659,680-1659,680-1659,680-1659,730-1659,730-1659,730-1659,730-1659
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,-,-,-,-
发动机,排量(mL),1498,1498,1498,1498,1498,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,-,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,-,-,-,-
发动机,气缸排列形式,L,L,L,L,L,-,-,-,-
发动机,气缸数(个),4,4,4,4,4,-,-,-,-
发动机,每缸气门数(个),4,4,4,4,4,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-
发动机,最大马力(Ps),101,101,101,101,101,-,-,-,-
发动机,最大功率(kW),74,74,74,74,74,-,-,-,-
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,-,-,-,-
发动机,最大扭矩(N·m),126,126,126,126,126,-,-,-,-
发动机,最大扭矩转速(rpm),4500,4500,4500,4500,4500,-,-,-,-
发动机,最大净功率(kW),70,70,70,70,70,-,-,-,-
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,-,-,-,-
电动机,后电动机品牌,-,-,-,-,-,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ213QYA,TZ213QYA,TZ213QYA,TZ213QYA,TZ213QYA,-,-,-,-
电动机,后电动机型号,-,-,-,-,-,TZ200XYAT,TZ200XYAT,TZ200XYAV,TZ200XYAV
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),175,175,175,175,175,240,240,270,270
电动机,电动机总马力(Ps),238,238,238,238,238,326,326,367,367
电动机,电动机总扭矩(N·m),270,270,270,270,270,305,305,305,305
电动机,前电动机最大功率(kW),175,175,175,175,175,-,-,-,-
电动机,前电动机最大扭矩(N·m),270,270,270,270,270,-,-,-,-
电动机,后电动机最大功率(kW),-,-,-,-,-,240,240,270,270
电动机,后电动机最大扭矩(N·m),-,-,-,-,-,305,305,305,305
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,第二代刀片电池,第二代刀片电池,第二代刀片电池,第二代刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),143,143,205,205,205,-,-,-,-
电池/充电,CLTC纯电续航里程(km),205,205,310,310,310,605,605,710,710
电池/充电,电池能量(kWh),26.6,26.6,38,38,38,69.07,69.07,82.7,82.7
电池/充电,百公里耗电量(kWh/100km),17.1,17.1,17.8,17.8,17.8,12.7,12.7,13.3,13.3
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),57,57,82,82,82,-,-,-,-
电池/充电,高压快充,-,-,-,-,-,支持,支持,支持,支持
电池/充电,高压平台（V）,-,-,-,-,-,800,800,800,800
电池/充电,电池快充时间(小时),0.28,0.28,0.28,0.28,0.28,0.15,0.15,0.15,0.15
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,10-97,10-97,10-97,10-97
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6.6,6.6,6.6,6.6
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,1,1,1,1
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 双球节麦弗逊式悬架,● 双球节麦弗逊式悬架,● 双球节麦弗逊式悬架,● 双球节麦弗逊式悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19
车轮制动,后轮胎规格,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,-,●,●,-,●,●,●
主动安全,主动刹车/主动安全系统,-,●,-,●,●,-,●,●,●
主动安全,疲劳驾驶提示,-,●,-,●,●,-,●,●,●
主动安全,DOW开门预警,-,●,-,●,●,-,●,●,●
主动安全,前方碰撞预警,-,●,-,●,●,-,●,●,●
主动安全,后方碰撞预警,-,●,-,●,●,-,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,-,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,-,● 双目,-,● 双目,● 双目,-,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 4个,● 11个,● 4个,● 11个,● 11个,● 4个,● 11个,● 11个,● 11个
驾驶硬件,车内摄像头数量,-,● 1个,-,● 1个,● 1个,-,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 4个,● 12个,● 4个,● 12个,● 12个,● 4个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 3个,-,● 3个,● 3个,-,● 3个,● 3个,● 3个
驾驶硬件,激光雷达数量,-,○ 1个,-,○ 1个,○ 1个,-,○ 1个,○ 1个,○ 1个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,"● DiPilot 100
○ DiPilot 300 (1.20万元)",-,"● DiPilot 100
○ DiPilot 300 (1.20万元)","● DiPilot 100
○ DiPilot 300 (1.20万元)",-,"● DiPilot 100
○ DiPilot 300","● DiPilot 100
○ DiPilot 300","● DiPilot 100
○ DiPilot 300"
驾驶功能,辅助驾驶等级,-,● L2,-,● L2,● L2,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,-,●,●,-,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,●,-,●,●,-,●,●,●
驾驶功能,车道保持辅助系统,-,●,-,●,●,-,●,●,●
驾驶功能,车道居中保持,-,●,-,●,●,-,●,●,●
驾驶功能,道路交通标识识别,-,●,-,●,●,-,●,●,●
驾驶功能,辅助泊车入位,-,●,-,●,●,-,●,●,●
驾驶功能,遥控泊车,-,●,-,●,●,-,●,●,●
驾驶功能,辅助变道,-,●,-,●,●,-,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,-,●,●,-,●,●,●
驾驶功能,信号灯识别,-,○,-,○,○,-,○,○,○
驾驶功能,方向盘离手检测,-,●,-,●,●,-,-,-,-
驾驶功能,辅助驾驶路段,-,"○ 城市路段
● 高速路段",-,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段",-,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,-,●,●,-,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,-,●,-,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,●,●,●,●,-,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,●,●,●,●,●,●,●,●,●
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●
互联/智能化,面部识别,-,●,-,●,●,-,●,●,●
互联/智能化,应用商店,●,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
互联/智能化,车联网,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
