セクション,セクション_ja,項目,項目_ja,2024年モデル V 300 リーダーエディション,2024年モデル V 300 プレミアムエディション,2024年モデル V 300 L ロングホイールベース プレミアムエディション,2024年モデル V 300 L ロングホイールベース ラグジュアリーエディション
变速箱,トランスミッション,挡位个数,段数,9,9,9,9
变速箱,トランスミッション,变速箱类型,トランスミッション形式,手自一体AT,手自一体AT,手自一体AT,手自一体AT
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● セミトレーリングアーム式独立サスペンション,● セミトレーリングアーム式独立サスペンション,● セミトレーリングアーム式独立サスペンション,● セミトレーリングアーム式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 245/50 R18タイヤ,● 245/50 R18タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 245/50 R18タイヤ,● 245/50 R18タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● 底部装着式,● 底部装着式,● 底部装着式,● 底部装着式
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席,前席●／後席,前席●／後席,前席●／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 5個,● 6個,● 6個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 両側電動スライドドア,● 両側電動スライドドア,● 両側電動スライドドア,● 両側電動スライドドア
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,尾门玻璃独立开启,テールゲートガラス独立開閉,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● ジオメトリックマルチビーム,● ジオメトリックマルチビーム,● ジオメトリックマルチビーム,● ジオメトリックマルチビーム
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,○ セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席,前席●／後席,前席●／後席,前席●／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
天窗/玻璃,サンルーフ・ガラス,可加热喷水嘴,ヒーター付きウォッシャーノズル,●,●,●,●
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス,● こんにちは、メルセデス
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,● MBUX,● MBUX,● MBUX,● MBUX
互联/智能化,互联/智能化,车联网,コネクテッドカー,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席5個,● 前席2個／後席5個,● 前席2個／後席5個,● 前席2個／後席5個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),-,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 後席,● 後席,● 後席
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,"● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能"
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,シート装備,后排座椅放倒形式,後部シートの倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
座椅配置,シート装備,加热/制冷杯架,加熱/冷却カップホルダー,"● シートヒーター
● シートクーラー","● シートヒーター
● シートクーラー","● シートヒーター
● シートクーラー","● シートヒーター
● シートクーラー"
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,● Burmester（ブルメスター）サウンドシステム,● Burmester（ブルメスター）サウンドシステム,● Burmester（ブルメスター）サウンドシステム
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8～9スピーカー,● 15スピーカー,● 15スピーカー,● 15スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 64色,● 64色,● 64色,● 64色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
