セクション,項目,沃尔沃S90插电式混动 2026款 插电式混动 四驱长续航智逸豪华版,沃尔沃S90插电式混动 2026款 插电式混动 四驱长续航智远豪华版,沃尔沃S90插电式混动 2026款 插电式混动 四驱长续航智雅豪华版,
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,–
方向盘/内后视镜,HUD抬头数字显示,-,-,●,–
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,–
方向盘/内后视镜,ETC装置,○,○,○,–
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,–
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,–
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,–
座椅配置,座椅材质,● 仿皮,● 仿皮,● 真皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
● 侧翼支撑",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,● 加热,● 加热,"● 加热
● 通风
● 按摩",–
座椅配置,电动座椅记忆功能,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",–
座椅配置,副驾驶位后排可调节按钮,●,●,●,–
座椅配置,第二排座椅调节,-,-,-,–
座椅配置,第二排座椅功能,○ 加热,○ 加热,"● 加热
● 通风",–
座椅配置,后排座椅放倒形式,-,-,-,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,●,–
音响/车内灯光,扬声器品牌名称,-,"● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健",● Bowers & Wilkins宝华韦健,–
音响/车内灯光,扬声器数量,● 10喇叭,"● 14喇叭
○ 19喇叭",● 19喇叭,–
音响/车内灯光,触摸式阅读灯,●,●,●,–
音响/车内灯光,车内环境氛围灯,● 单色,● 单色,● 单色,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,-,●,●,–
空调/冰箱,后座出风口,●,●,●,–
空调/冰箱,温度分区控制,●,●,●,–
空调/冰箱,车载空气净化器,●,●,●,–
空调/冰箱,车内PM2.5过滤装置,●,●,●,–
空调/冰箱,负离子发生器,●,●,●,–
空调/冰箱,空气质量监测,●,●,●,–
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,冬季选装包,○ 选配 (暂无价格),○ 选配 (暂无价格),-,–
