セクション,セクション_ja,項目,項目_ja,2026年モデル プラグインハイブリッド 125km 尊享型,2026年モデル 純電動 500km 尊享型,2025年モデル プラグインハイブリッド 125km 豪華型,2025年モデル 純電動 500km 豪華型
车身,車体,车门开启方式,ドア開閉方式,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア,観音開き＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),52,-,52,-
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,0.276,-,0.276
发动机,エンジン,发动机型号,エンジン型式,LBG,-,LBG,-
发动机,エンジン,排量(mL),排気量(mL),1498,-,1498,-
发动机,エンジン,排量(L),排気量(L),1.5,-,1.5,-
发动机,エンジン,进气形式,過給形式,自然吸気,-,自然吸気,-
发动机,エンジン,发动机布局,エンジン配置,横置,-,横置,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,-,L,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,-,4,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,-,4,-
发动机,エンジン,配气机构,バルブ機構,DOHC,-,DOHC,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),106,-,106,-
发动机,エンジン,最大功率(kW),最大出力(kW),78,-,78,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5800,-,5800,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),130,-,130,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4600-5000,-,4600-5000,-
发动机,エンジン,最大净功率(kW),最大出力(kW),75,-,75,-
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,純電動,プラグインハイブリッド,純電動
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,-,92オクタン,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,-,マルチポイント燃料噴射,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,-,アルミ合金,-
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,-,鋳鉄,-
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,-,国VI排ガス基準,-
电动机,モーター,前电动机品牌,前モーターブランド,-,柳州サイク,-,柳州サイク
电动机,モーター,前电动机型号,前モーター型式,-,TZ180XS2A0,-,TZ180XS2A0
电动机,モーター,电机类型,モーター種類,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),145,100,145,100
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),197,136,197,136
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),230,200,230,200
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),145,100,145,100
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),230,200,230,200
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km,● 8年または15万km,● 8年または15万km,● 8年または15万km
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,"● 国軒高科
● 瑞浦サイク","● 瑞浦サイク
● 江蘇正力","● 国軒高科
● 瑞浦サイク","● 瑞浦サイク
● 江蘇正力"
电池/充电,バッテリー／充電,电池特有技术,バッテリー独自技術,神煉電池,神煉電池,神煉電池,神煉電池
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),100,-,100,-
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),125,500,125,500
电池/充电,バッテリー／充電,WLTC综合续航(km),WLTC総合航続距離(km),1100,-,1100,-
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),20.5,60,20.5,60
电池/充电,バッテリー／充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),118,144,118,144
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),16.2,13.6,16.2,13.6
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.33,0.5,0.33
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,电池慢充时间(小时),バッテリー普通充電時間(時間),6.7,9.7,6.7,9.7
电池/充电,バッテリー／充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),20-100,20-100,20-100,20-100
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
变速箱,トランスミッション,简称,略称,E-CVT無段変速,電気自動車用単速変速機,E-CVT無段変速,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,無段変速,1,無段変速,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子無段変速機（E-CVT）,固定ギア比変速機,電子無段変速機（E-CVT）,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席,前席●／後席,前席●／後席,前席●／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席／後席●,前席／後席●,前席／後席●,前席／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 4個,● 4個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 4個,● 4個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速域適応クルーズコントロール,● 全速域適応クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,-,-
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 右側電動 左側手動,● 右側電動 左側手動,"○ 右側電動
● 両側手動","○ 右側電動
● 両側手動"
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,-,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,-,-
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,● 雨量感知式,● 雨量感知式,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● 純正連携／ミラーリング
● HUAWEI HiCar対応
● Carlink対応","● 純正連携／ミラーリング
● HUAWEI HiCar対応
● Carlink対応","● 純正連携／ミラーリング
● HUAWEI HiCar対応
● Carlink対応","● 純正連携／ミラーリング
● HUAWEI HiCar対応
● Carlink対応"
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,-,-,-,-
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● Ling OS,● Ling OS,● Ling OS,● Ling OS
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,-,-
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 3.5インチ,● 3.5インチ,● 3.5インチ,● 3.5インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● ／助手席,運転席 ● ／助手席,運転席 ● ／助手席,運転席 ● ／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3（配列）,● 2-2-3（配列）,● 2-2-3（配列）,● 2-2-3（配列）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
