セクション,項目,速腾 2026款 S 1.5L 时尚版,速腾 2026款 S 1.5L 舒享时尚版,速腾 2026款 S 1.5L 精英版,速腾 2026款 S 300TSI 豪华版,速腾 2026款 改款 3000万辆甄选款 300TSI DSG 飞越版,速腾 2026款 改款 3000万辆甄选款 300TSI DSG 超越版,速腾 2026款 L 300TSI DSG 时尚型,速腾 2026款 L 300TSI DSG 精英型,速腾 2026款 L 300TSI DSG 豪华型
变速箱,挡位个数,6,6,6,7,7,7,7,7,7
变速箱,变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 195/65 R15
○ 205/55 R16",● 205/55 R16,"● 205/55 R16
○ 225/45 R17 (2000元)",● 225/45 R17,● 205/55 R17,"● 205/55 R17
○ 225/45 R18 (2000元)",● 205/55 R17,"● 205/55 R17
○ 225/45 R18",● 225/45 R18
车轮制动,后轮胎规格,"● 195/65 R15
○ 205/55 R16",● 205/55 R16,"● 205/55 R16
○ 225/45 R17",● 225/45 R17,● 205/55 R17,"● 205/55 R17
○ 225/45 R18",● 205/55 R17,"● 205/55 R17
○ 225/45 R18",● 225/45 R18
车轮制动,备胎规格,○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元),○ 非全尺寸 (200元)
车轮制动,备胎放置方式,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,-,●,●,●,-,-,-,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,"● 胎压报警
○ 胎压显示 (1000元)",● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,●,-,-,-,●,●
主动安全,主动刹车/主动安全系统,-,-,●,●,-,●,-,●,●
主动安全,疲劳驾驶提示,-,-,●,●,-,-,-,●,●
主动安全,DOW开门预警,-,-,●,●,-,-,-,●,●
主动安全,前方碰撞预警,-,-,●,●,-,●,-,●,●
主动安全,内置行车记录仪,-,-,-,●,-,-,-,○,○
主动安全,道路救援呼叫,●,●,●,●,-,-,●,●,●
驾驶操控,驾驶模式切换,-,-,-,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前 ○ /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,-,● 倒车影像,"● 倒车影像
○ 360度全景影像 (3000元)","● 倒车影像
○ 360度全景影像 (3000元)",● 倒车影像,● 倒车影像,● 倒车影像,"● 倒车影像
○ 360度全景影像 (3000元)","● 倒车影像
○ 360度全景影像 (3000元)"
驾驶硬件,前方感知摄像头,-,-,● 单目,● 单目,-,-,-,● 单目,● 单目
驾驶硬件,摄像头数量,-,● 1个,"● 2个
○ 5个","● 2个
○ 5个",● 1个,● 1个,● 1个,"● 2个
○ 5个","● 2个
○ 5个"
驾驶硬件,超声波雷达数量,● 4个,● 4个,"● 4个
○ 8个",● 8个,● 4个,● 8个,● 4个,"● 8个
○ 12个","● 8个
○ 12个"
驾驶硬件,毫米波雷达数量,-,-,● 5个,● 5个,-,● 1个,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,● IQ. Drive,● IQ. Drive,-,-,-,"● IQ. Drive
○ IQ. Pilot (1.20万元)","● IQ. Drive
○ IQ. Pilot (1.20万元)"
驾驶功能,辅助驾驶等级,-,-,● L2,● L2,-,-,-,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,●,-,-,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,-,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,-,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 四维图新,-,-,-,-,-
驾驶功能,AR实景导航,-,-,-,●,-,-,-,○,○
驾驶功能,并线辅助,-,-,●,●,-,-,-,●,●
驾驶功能,车道保持辅助系统,-,-,●,●,-,-,-,●,●
驾驶功能,车道居中保持,-,-,●,●,-,-,-,●,●
驾驶功能,道路交通标识识别,-,-,●,●,-,-,-,●,●
驾驶功能,辅助泊车入位,-,-,-,○ (2000元),-,-,-,○ (2000元),○ (2000元)
驾驶功能,遥控泊车,-,-,-,○,-,-,-,○,○
驾驶功能,辅助变道,-,-,-,-,-,-,-,○,○
驾驶功能,方向盘离手检测,-,-,●,●,-,-,-,●,●
驾驶功能,辅助驾驶路段,-,-,-,-,-,-,-,○ 高速路段,○ 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,-,-,-,-,-,-,-,-,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙 (1200元)",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,○,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,○ 驾驶位,● 驾驶位,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,-,-,-,-,-,-,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,-,-,-,-,-,-,○ 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,○
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,●,●,●,●,●,●,●
车外灯光,转向头灯,-,-,-,-,-,-,-,-,○
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,-,-,●,●,-,-,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,○ 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-,-,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 8英寸,● 12英寸,● 12.9英寸,● 12.9英寸,● 15英寸
互联/智能化,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,-,-,● 1920x1080,● 1920x1080,● 2240x1260
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
○ 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
○ 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
○ 座椅加热","● 多媒体系统
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗"
互联/智能化,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,-,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众
互联/智能化,语音免唤醒词,●,●,●,●,-,-,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 单区域,● 单区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●,-,-,●,●,●
互联/智能化,可见即可说,●,●,●,●,-,-,-,-,-
互联/智能化,应用商店,●,●,●,●,-,-,●,●,●
互联/智能化,车载智能系统,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,-,-,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity
互联/智能化,车机智能芯片,-,-,-,● 高通骁龙8155,-,-,-,● 高通骁龙8155,● 高通骁龙8155
互联/智能化,车机系统内存(GB),● 6,● 6,● 6,● 12,-,-,● 6,● 12,● 12
互联/智能化,车机系统存储(GB),● 64,● 64,● 64,● 128,-,-,● 64,● 128,● 128
互联/智能化,车联网,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 5G,● 4G,● 4G,● 4G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,-,-,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,-,-,-,-,-
互联/智能化,V2X通讯,-,-,-,●,-,-,-,●,●
互联/智能化,手机APP远程功能,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 机械挡把换挡,● 机械挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,○,○,-,-,-,○,○
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,-,○ (2000元),●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 8英寸,"● 8英寸
○ 10.25英寸 (2000元)",● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,仪表盘屏幕分辨率（px）,● 1280x480,● 1280x480,● 1280x480,● 1280x480,-,-,● 1280x480,● 1280x480,● 1280x480
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,-,-,○ (3000元),○ (3000元)
方向盘/内后视镜,HUD抬头尺寸,-,-,-,-,-,-,-,○ 7.11英寸,○ 7.11英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,-,-,○,○,○
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● USB,"● USB
● Type-C",● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排1个,● 前排1个/后排1个,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,○ 前排,● 前排,-,● 前排,-,● 前排,● 前排
车内充电,手机无线充电功率,-,-,○ 15W,● 40W,-,-,-,-,● 40W
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 织物,● 仿皮,● 皮/织物混搭,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
○ 高低调节(2向)","● 前后调节
● 靠背调节
○ 高低调节(2向)"
座椅配置,主/副驾驶座电动调节,-,-,主 ○ /副- (2000元),主 ● /副-,-,主 ○ /副- (2000元),-,主 ● /副 ○,主 ● /副 ○ (2000元)
座椅配置,前排座椅功能,-,○ 加热,○ 加热,○ 加热,-,○ 加热 (1500元),-,"○ 加热
○ 通风","○ 加热
○ 通风"
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 4喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,-,-,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,-,● 30色,-,● 10色,-,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,-,●,-,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,-,-,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–
选装包,行车记录仪&AR导航,-,-,-,-,-,-,-,○ 选配 (1000元),○ 选配 (1000元)
选装包,冬季包,-,-,-,-,-,-,-,○ 选配 (2000元),○ 选配 (2000元)
选装包,夏季包,-,-,-,-,-,-,-,○ 选配 (3000元),○ 选配 (3000元)
选装包,IQ.Pilot增强驾驶辅助包,-,-,-,-,-,-,-,○ 选配 (12000元),○ 选配 (12000元)
选装包,矩阵大灯,-,-,-,-,-,-,-,-,○ 选配 (暂无价格)
