セクション,項目,荣威i6 2026款 1.5L 长久版,荣威i6 2026款 1.5L 豪久版,荣威i6 2026款 1.5L 臻久版,
车外灯光,自动头灯,●,●,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,●,●,●,–
车外灯光,大灯延时关闭,●,●,●,–
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 电动天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶",–
天窗/玻璃,后雨刷,-,-,-,–
天窗/玻璃,感应雨刷功能,-,○ 雨量感应式,○ 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 10.25英寸,● 15.6英寸,● 15.6英寸,–
互联/智能化,中控屏幕分辨率,-,● 2.5K,● 2.5K,–
互联/智能化,蓝牙/车载电话,●,●,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink",–
互联/智能化,语音识别控制系统,-,●,●,–
互联/智能化,语音助手唤醒词,-,● 你好，荣威,● 你好，荣威,–
互联/智能化,语音免唤醒词,-,●,●,–
互联/智能化,语音分区域唤醒识别,-,● 双区域,● 双区域,–
互联/智能化,语音连续识别,-,●,●,–
互联/智能化,可见即可说,-,●,●,–
互联/智能化,应用商店,-,●,●,–
互联/智能化,车机智能芯片,-,● 高通骁龙8155,● 高通骁龙8155,–
互联/智能化,多指飞屏操控,-,●,●,–
互联/智能化,车联网,-,●,●,–
互联/智能化,4G/5G网络,-,● 4G,● 4G,–
互联/智能化,OTA升级,-,●,●,–
互联/智能化,Wi-Fi热点,-,●,●,–
互联/智能化,手机APP远程功能,-,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）",–
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,–
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,●,–
方向盘/内后视镜,方向盘加热,-,-,-,–
方向盘/内后视镜,方向盘记忆,-,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,-,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,–
车内充电,手机无线充电功能,-,-,● 前排,–
车内充电,手机无线充电功率,-,-,● 50W,–
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,主 ● /副 ●,–
座椅配置,前排座椅功能,-,-,"● 加热
● 通风",–
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,–
座椅配置,副驾驶位后排可调节按钮,-,-,-,–
座椅配置,第二排座椅调节,-,-,-,–
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 整体放倒,–
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,–
座椅配置,后排杯架,-,-,-,–
音响/车内灯光,扬声器品牌名称,-,-,-,–
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 6喇叭,–
音响/车内灯光,车内环境氛围灯,-,-,-,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,-,-,-,–
空调/冰箱,后座出风口,●,●,●,–
空调/冰箱,温度分区控制,-,-,-,–
空调/冰箱,车载空气净化器,-,-,-,–
空调/冰箱,车内PM2.5过滤装置,●,●,●,–
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
