セクション,項目,奔驰GLC新能源 2026款 纯电版 350 L 4MATIC 鎏金版,奔驰GLC新能源 2025款 350 e L 4MATIC 典藏版,
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车",–
互联/智能化,模拟声浪,○,-,–
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,–
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,–
方向盘/内后视镜,方向盘换挡拨片,-,●,–
方向盘/内后视镜,方向盘加热,●,-,–
方向盘/内后视镜,方向盘记忆,●,●,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 10.3英寸,● 12.3英寸,–
方向盘/内后视镜,HUD抬头数字显示,○ (5100元),○ (9000元),–
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,–
方向盘/内后视镜,ETC装置,○ (3000元),○ (3100元),–
车内充电,多媒体/充电接口,● Type-C,● Type-C,–
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排3个/后排2个,–
车内充电,手机无线充电功能,● 前排,● 前排,–
车内充电,行李厢12V电源接口,-,●,–
座椅配置,座椅材质,● 仿皮,● 仿皮,–
座椅配置,运动风格座椅,-,●,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩","○ 加热 (2900元)
○ 通风 (9700元)",–
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位",● 驾驶位,–
座椅配置,副驾驶位后排可调节按钮,●,●,–
座椅配置,第二排座椅调节,● 腰部调节,-,–
座椅配置,第二排座椅电动调节,●,-,–
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩",-,–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,–
音响/车内灯光,扬声器品牌名称,● Burmester柏林之声,○ Burmester柏林之声 (8300元),–
音响/车内灯光,扬声器数量,● 21喇叭,"● 7喇叭
○ 15喇叭",–
音响/车内灯光,杜比全景声(Dolby Atmos),●,-,–
音响/车内灯光,车内环境氛围灯,● 64色,● 64色,–
音响/车内灯光,主动式环境氛围灯,○ (5000元),●,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,●,●,–
空调/冰箱,后座出风口,●,●,–
空调/冰箱,温度分区控制,●,●,–
空调/冰箱,车载空气净化器,●,●,–
空调/冰箱,车内PM2.5过滤装置,●,●,–
空调/冰箱,车内香氛装置,-,○,–
空调/冰箱,空气质量监测,●,-,–
颜色,外观颜色,–,–,–
颜色,内饰颜色,–,–,–
选装包,AMG长续航包,○ 选配 (8000元),-,–
选装包,驾驶及舒适组件,○ 选配 (17600元),-,–
选装包,智乐套装1,-,○ 选配 (8300元),–
选装包,智能领航辅助Max,-,○ 选配 (15700元),–
选装包,智享套装5,-,○ 选配 (18300元),–
