セクション,項目,firefly萤火虫 2026款 自在版,firefly萤火虫 2026款 发光版,firefly萤火虫 2025款 自在版,firefly萤火虫 2025款 发光版
电动机,电动机总马力(Ps),163,163,163,163
电动机,电动机总扭矩(N·m),205,205,205,205
电动机,后电动机最大功率(kW),120,120,120,120
电动机,后电动机最大扭矩(N·m),205,205,205,205
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,换电,支持,支持,支持,支持
电池/充电,CLTC纯电续航里程(km),420,420,420,420
电池/充电,电池能量(kWh),42.1,42.1,42.1,42.1
电池/充电,电池能量密度(Wh/kg),134.1,134.1,134.1,134.1
电池/充电,百公里耗电量(kWh/100km),10.9,10.9,10.9,10.9
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.48,0.48,0.48,0.48
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.68,3.68,3.68,3.68
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/50 R18,● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,后轮胎规格,● 215/50 R18,● 215/50 R18,● 215/50 R18,● 215/50 R18
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,单踏板模式,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,芯片总算力,● 128 TOPS,● 128 TOPS,● 128 TOPS,● 128 TOPS
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 10个,● 10个,● 10个,● 10个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●
驾驶功能,循迹倒车,●,●,-,-
驾驶功能,辅助变道,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●
驾驶功能,起步提醒,●,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
车外灯光,场景灯语,●,●,●,●
车外灯光,辅助驾驶灯,●,●,-,-
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 13.2英寸,● 13.2英寸,● 13.2英寸,● 13.2英寸
互联/智能化,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,●,●,●,●
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 你好，Lumo,● 你好，Lumo,● 你好，Lumo,● 你好，Lumo
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●
互联/智能化,可见即可说,●,●,●,●
互联/智能化,应用商店,●,●,●,●
互联/智能化,车载智能系统,● Aster OS,● Aster OS,● Aster OS,● Aster OS
互联/智能化,车机智能芯片,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P
互联/智能化,车机系统内存(GB),● 16,● 16,● 16,● 16
互联/智能化,车机系统存储(GB),● 256,● 256,● 256,● 256
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 6英寸,● 6英寸,● 6英寸,● 6英寸
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
● 流媒体","● 手动防眩目
● 流媒体","● 手动防眩目
● 流媒体","● 手动防眩目
● 流媒体"
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●
座椅配置,座椅材质,● 皮/织物混搭,● 皮/翻毛材质混搭,● 皮/织物混搭,● 皮/翻毛材质混搭
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副 ●,主 ● /副-,主 ● /副 ●
座椅配置,前排座椅功能,● 加热,"● 加热
● 通风
● 按摩",● 加热,"● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,● 驾驶位,"● 驾驶位
● 副驾驶位",● 驾驶位,"● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-
音响/车内灯光,扬声器数量,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),●,●,●,●
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●
空调/冰箱,车内香氛装置,●,●,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,g-force引力操控套装,○ 选配 (3999元),○ 选配 (3999元),○ 选配 (3999元),○ 选配 (3999元)
