セクション,項目,星光560新能源 2026款 插混 125km 豪华型,星光560新能源 2026款 纯电 500km 豪华型,
发动机,供油方式,多点电喷,-,–
发动机,缸盖材料,铝合金,-,–
发动机,缸体材料,铸铁,-,–
发动机,环保标准,国VI,-,–
电动机,前电动机品牌,-,柳州赛克,–
电动机,前电动机型号,TZ180XY5E6,TZ180XS2A0,–
电动机,电机类型,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),145,100,–
电动机,电动机总马力(Ps),197,136,–
电动机,电动机总扭矩(N·m),230,200,–
电动机,前电动机最大功率(kW),145,100,–
电动机,前电动机最大扭矩(N·m),230,200,–
电动机,驱动电机数,单电机,单电机,–
电动机,电机布局,前置,前置,–
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,–
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 瑞浦赛克,● 江苏正力,–
电池/充电,电池特有技术,神炼电池,神炼电池,–
电池/充电,电池冷却方式,液冷,液冷,–
电池/充电,WLTC纯电续航里程(km),100,-,–
电池/充电,CLTC纯电续航里程(km),125,500,–
电池/充电,CLTC综合续航(km),1100,-,–
电池/充电,电池能量(kWh),20.5,56.7,–
电池/充电,电池能量密度(Wh/kg),118,147,–
电池/充电,百公里耗电量(kWh/100km),15.4,13.1,–
电池/充电,快充功能,支持,支持,–
电池/充电,电池快充时间(小时),0.5,0.33,–
电池/充电,电池快充电量范围(%),30-80,30-80,–
电池/充电,电池慢充时间(小时),6.7,9.2,–
电池/充电,电池慢充电量范围(%),20-100,20-100,–
电池/充电,慢充接口位置,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,–
变速箱,简称,E-CVT无级变速,电动车单速变速箱,–
变速箱,挡位个数,无级变速,1,–
变速箱,变速箱类型,电子无级变速箱(E-CVT),固定齿比变速箱,–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 215/55 R18,● 215/55 R18,–
车轮制动,后轮胎规格,● 215/55 R18,● 215/55 R18,–
车轮制动,备胎规格,● 补胎工具,● 补胎工具,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),-,-,–
主动安全,ABS防抱死,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,–
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,–
主动安全,安全带未系提醒,● 前排,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,–
主动安全,车道偏离预警系统,-,-,–
主动安全,主动刹车/主动安全系统,-,-,–
主动安全,疲劳驾驶提示,-,-,–
主动安全,低速行车警告,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",–
驾驶操控,能量回收系统,●,●,–
驾驶操控,自动驻车,●,●,–
驾驶操控,上坡辅助,●,●,–
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,–
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,–
驾驶硬件,摄像头数量,● 1个,● 1个,–
驾驶硬件,超声波雷达数量,● 4个,● 4个,–
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,–
驾驶功能,卫星导航系统,-,-,–
驾驶功能,导航路况信息显示,-,-,–
驾驶功能,并线辅助,-,-,–
驾驶功能,车道保持辅助系统,-,-,–
驾驶功能,辅助泊车入位,-,-,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,–
外观/防盗,车顶行李架,●,●,–
外观/防盗,发动机电子防盗,●,-,–
外观/防盗,车内中控锁,●,●,–
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,–
外观/防盗,无钥匙启动系统,●,●,–
外观/防盗,无钥匙进入功能,● 前排,● 前排,–
外观/防盗,电池预加热,●,●,–
外观/防盗,对外放电,●,●,–
车外灯光,近光灯光源,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,–
车外灯光,LED日间行车灯,●,●,–
车外灯光,自适应远近光,-,-,–
车外灯光,自动头灯,●,●,–
车外灯光,转向辅助灯,●,●,–
车外灯光,车前雾灯,-,-,–
车外灯光,大灯高度可调,●,●,–
车外灯光,大灯延时关闭,●,●,–
天窗/玻璃,天窗类型,-,-,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,–
天窗/玻璃,车窗防夹手功能,●,●,–
天窗/玻璃,车内化妆镜,-,-,–
天窗/玻璃,后雨刷,●,●,–
天窗/玻璃,感应雨刷功能,●,●,–
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,–
互联/智能化,蓝牙/车载电话,●,●,–
互联/智能化,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink",–
互联/智能化,语音识别控制系统,-,-,–
互联/智能化,车联网,-,-,–
互联/智能化,OTA升级,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）",–
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,–
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,–
方向盘/内后视镜,方向盘加热,-,-,–
方向盘/内后视镜,方向盘记忆,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,-,-,–
方向盘/内后视镜,液晶仪表尺寸,● 3.5英寸,● 3.5英寸,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排3个/后排1个,● 前排3个/后排1个,–
车内充电,手机无线充电功能,-,-,–
座椅配置,座椅材质,● 仿皮,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副-,–
座椅配置,前排座椅功能,-,-,–
座椅配置,电动座椅记忆功能,-,-,–
座椅配置,副驾驶位后排可调节按钮,-,-,–
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,–
座椅配置,后排杯架,-,-,–
音响/车内灯光,扬声器品牌名称,-,-,–
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,–
音响/车内灯光,车内环境氛围灯,-,-,–
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,–
空调/冰箱,后排独立空调,-,-,–
空调/冰箱,后座出风口,●,●,–
空调/冰箱,温度分区控制,-,-,–
空调/冰箱,车载空气净化器,-,-,–
空调/冰箱,车内PM2.5过滤装置,-,-,–
颜色,外观颜色,–,–,–
颜色,内饰颜色,–,–,–
