セクション,項目,银河V900 2026款 1180四驱Air版,银河V900 2026款 1180四驱Pro版,银河V900 2026款 1220四驱Max版,银河V900 2026款 金晖典藏版
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,主动降噪,●,●,●,●
互联/智能化,车载KTV,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,AR-HUD增强现实抬头显示,-,-,●,●
方向盘/内后视镜,HUD抬头尺寸,-,-,● 19.8英寸,● 19.8英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,"● 自动防眩目
● 流媒体"
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排6个,● 前排2个/后排6个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W
车内充电,220V/230V电源,●,●,●,●
车内充电,手机无线充电功能,● 前排,● 前排,"● 前排
● 后排","● 前排
● 后排"
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,-,"● 加热
● 通风","● 加热
● 通风
● 按摩
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
○ 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节"
座椅配置,第二排座椅电动调节,●,●,●,●
座椅配置,第二排座椅功能,-,-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,后排小桌板,●,●,●,●
座椅配置,第二排独立座椅,●,●,●,●
座椅配置,第三排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第三排座椅电动调节,●,●,●,●
座椅配置,第三排座椅功能,-,-,-,"● 加热
● 通风"
座椅配置,座椅布局,● 2-2-3,● 2-2-3,"○ 2-2-2
● 2-2-3
○ 2-2-2-2","○ 2-2-2
● 2-2-3
○ 2-2-2-2"
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,●,●,●,●
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-
音响/车内灯光,扬声器数量,● 14喇叭,● 14喇叭,"● 14喇叭
○ 27喇叭 (1.58万元)","● 14喇叭
○ 27喇叭 (1.58万元)"
音响/车内灯光,车内环境氛围灯,-,-,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,-,-,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,-,-,●,●
空调/冰箱,车内PM2.5过滤装置,-,-,-,-
空调/冰箱,负离子发生器,-,-,-,●
空调/冰箱,车内香氛装置,-,-,●,●
空调/冰箱,空气质量监测,-,-,●,●
空调/冰箱,车载冰箱,-,-,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,旗舰级纳米陶瓷漆,-,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元)
选装包,独立6座,-,-,○ 选配 (暂无价格),-
选装包,20寸曜日多幅铝合金轮毂+马牌静音轮胎,-,-,○ 选配 (10000元),-
选装包,四排8座,-,-,○ 选配 (10000元),○ 选配 (10000元)
选装包,豪华独立6座,-,-,-,○ 选配 (暂无价格)
选装包,999纯金天马徽标,-,-,-,○ 选配 (15000元)
